scale,version,repetition,calibration_rows,calibrated_slope,intercept_only_rmse,affine_rmse,gain
60m,v1,16,64,1.0560465752740424,0.1981670350839168,0.20166921559160475,-0.003502180507687941
60m,v1,17,64,0.8228121858399995,0.20323865529583243,0.19625918490880664,0.006979470387025788
60m,v1,18,64,0.5796565563835524,0.20581508080890878,0.2012634168841081,0.004551663924800692
60m,v1,19,64,0.6273451525520746,0.19734912617396227,0.19009169111192287,0.007257435062039408
60m,v2,0,64,0.6343443090585849,0.18804055932159375,0.15982981282397438,0.02821074649761937
60m,v2,1,64,0.5264469915450848,0.18926568531659943,0.16703974594991625,0.022225939366683184
60m,v2,2,64,0.5566177456309368,0.1862788738284432,0.1661858247789271,0.020093049049516087
60m,v2,3,64,0.599730435770435,0.1915457471585491,0.16500304809052035,0.026542699068028752
60m,v2,4,64,0.5048378461272376,0.1904473288120803,0.17417174873340796,0.01627558007867233
60m,v2,5,64,0.5251382484687366,0.18083791951088807,0.15749972746867294,0.023338192042215128
60m,v2,6,64,0.6521225198313693,0.18777499026716107,0.16088122202528082,0.02689376824188025
60m,v2,7,64,0.58761527190367,0.1921474270509615,0.1675585768779873,0.024588850172974186
60m,v2,8,64,0.6184735661595143,0.18373690752769364,0.15672023211795974,0.027016675409733903
60m,v2,9,64,0.5505818351452215,0.1878960229501988,0.16741004880243218,0.020485974147766622
60m,v2,10,64,0.6753650322488379,0.18499970721262562,0.1570933266282932,0.027906380584332424
60m,v2,11,64,0.7088502667719305,0.18536095642442213,0.1567899818679286,0.028570974556493517
60m,v2,12,64,0.696412781017537,0.1954399013520249,0.16755920234406466,0.027880699007960252
60m,v2,13,64,0.8826099855465817,0.19376823749925476,0.17780912159258389,0.015959115906670873
60m,v2,14,64,0.6842136626856536,0.1821140488119363,0.15566106225818946,0.026452986553746838
60m,v2,15,64,0.5793427150134219,0.18862910219867407,0.16484339916339974,0.02378570303527433
60m,v2,16,64,0.7686798419646871,0.1871245286103056,0.16151739851121952,0.02560713009908608
60m,v2,17,64,0.7333585857268496,0.1935794194233175,0.16626633482553665,0.02731308459778084
60m,v2,18,64,0.5181236431485848,0.1889549853291935,0.17238584251315958,0.016569142816033916
