subset,window_quarters,metric,n_min,first_quarter,last_quarter,n_first,n_last,first_value,last_value,change,same_span_as_strict_original
inherited_C2_full_legacy_cutoff,2,top3,10,2024Q3,2025Q1,153,267,44.7878360044866,47.65853461142634,2.87069860693974,False
inherited_C2_full_legacy_cutoff,3,p90,1,2024Q4,2025Q1,237,349,38.331994352316016,40.229805729445076,1.8978113771290595,False
inherited_C2_full_legacy_cutoff,3,p90,3,2024Q4,2025Q1,237,349,38.331994352316016,40.229805729445076,1.8978113771290595,False
inherited_C2_full_legacy_cutoff,3,p90,5,2024Q4,2025Q1,237,349,38.331994352316016,40.229805729445076,1.8978113771290595,False
inherited_C2_full_legacy_cutoff,3,p90,10,2024Q4,2025Q1,237,349,38.331994352316016,40.229805729445076,1.8978113771290595,False
inherited_C2_full_legacy_cutoff,3,p95,1,2024Q4,2025Q1,237,349,41.24176690811548,41.536452535651826,0.29468562753634586,False
inherited_C2_full_legacy_cutoff,3,p95,3,2024Q4,2025Q1,237,349,41.24176690811548,41.536452535651826,0.29468562753634586,False
inherited_C2_full_legacy_cutoff,3,p95,5,2024Q4,2025Q1,237,349,41.24176690811548,41.536452535651826,0.29468562753634586,False
inherited_C2_full_legacy_cutoff,3,p95,10,2024Q4,2025Q1,237,349,41.24176690811548,41.536452535651826,0.29468562753634586,False
inherited_C2_full_legacy_cutoff,3,top3,1,2024Q4,2025Q1,237,349,47.65853461142634,47.65853461142634,0.0,False
inherited_C2_full_legacy_cutoff,3,top3,3,2024Q4,2025Q1,237,349,47.65853461142634,47.65853461142634,0.0,False
inherited_C2_full_legacy_cutoff,3,top3,5,2024Q4,2025Q1,237,349,47.65853461142634,47.65853461142634,0.0,False
inherited_C2_full_legacy_cutoff,3,top3,10,2024Q4,2025Q1,237,349,47.65853461142634,47.65853461142634,0.0,False
license_W2,1,p90,1,2024Q2,2025Q1,12,2,25.58523208810486,30.08623735677516,4.501005268670301,True
license_W2,1,p90,3,2024Q2,2024Q4,12,4,25.58523208810486,31.944703534852636,6.359471446747776,False
license_W2,1,p90,5,2024Q2,2024Q3,12,9,25.58523208810486,33.57162456766141,7.9863924795565495,False
license_W2,1,p95,1,2024Q2,2025Q1,12,2,28.982145133843897,30.222182584060665,1.240037450216768,True
license_W2,1,p95,3,2024Q2,2024Q4,12,4,28.982145133843897,32.60353343619562,3.621388302351722,False
license_W2,1,p95,5,2024Q2,2024Q3,12,9,28.982145133843897,35.78979593640387,6.807650802559973,False
license_W2,1,top3,1,2024Q2,2025Q1,12,2,27.913139721481045,28.998675538491128,1.0855358170100828,True
license_W2,1,top3,3,2024Q2,2024Q4,12,4,27.913139721481045,26.04053216657182,-1.8726075549092265,False
license_W2,1,top3,5,2024Q2,2024Q3,12,9,27.913139721481045,34.15560012754988,6.242460406068837,False
license_W2,2,p90,1,2024Q3,2025Q1,21,6,32.46253888329018,31.810245574442384,-0.6522933088477956,False
license_W2,2,p90,3,2024Q3,2025Q1,21,6,32.46253888329018,31.810245574442384,-0.6522933088477956,False
license_W2,2,p90,5,2024Q3,2025Q1,21,6,32.46253888329018,31.810245574442384,-0.6522933088477956,False
license_W2,2,p90,10,2024Q3,2024Q4,21,13,32.46253888329018,33.102398446688916,0.639859563398737,False
license_W2,2,p95,1,2024Q3,2025Q1,21,6,33.059051837739325,32.536304455990496,-0.5227473817488288,False
license_W2,2,p95,3,2024Q3,2025Q1,21,6,33.059051837739325,32.536304455990496,-0.5227473817488288,False
license_W2,2,p95,5,2024Q3,2025Q1,21,6,33.059051837739325,32.536304455990496,-0.5227473817488288,False
license_W2,2,p95,10,2024Q3,2024Q4,21,13,33.059051837739325,35.16060492458169,2.1015530868423653,False
license_W2,2,top3,1,2024Q3,2025Q1,21,6,34.50985267539195,30.830218381378938,-3.6796342940130096,False
license_W2,2,top3,3,2024Q3,2025Q1,21,6,34.50985267539195,30.830218381378938,-3.6796342940130096,False
license_W2,2,top3,5,2024Q3,2025Q1,21,6,34.50985267539195,30.830218381378938,-3.6796342940130096,False
license_W2,2,top3,10,2024Q3,2024Q4,21,13,34.50985267539195,34.57762317532504,0.06777049993308992,False
license_W2,3,p90,1,2024Q4,2025Q1,25,15,32.82044665595967,32.94243355583923,0.12198689987955902,False
license_W2,3,p90,3,2024Q4,2025Q1,25,15,32.82044665595967,32.94243355583923,0.12198689987955902,False
license_W2,3,p90,5,2024Q4,2025Q1,25,15,32.82044665595967,32.94243355583923,0.12198689987955902,False
license_W2,3,p90,10,2024Q4,2025Q1,25,15,32.82044665595967,32.94243355583923,0.12198689987955902,False
license_W2,3,p95,1,2024Q4,2025Q1,25,15,33.22170103757875,34.68604452782092,1.4643434902421717,False
license_W2,3,p95,3,2024Q4,2025Q1,25,15,33.22170103757875,34.68604452782092,1.4643434902421717,False
license_W2,3,p95,5,2024Q4,2025Q1,25,15,33.22170103757875,34.68604452782092,1.4643434902421717,False
license_W2,3,p95,10,2024Q4,2025Q1,25,15,33.22170103757875,34.68604452782092,1.4643434902421717,False
license_W2,3,top3,1,2024Q4,2025Q1,25,15,34.77646082680809,34.57762317532504,-0.19883765148305343,False
license_W2,3,top3,3,2024Q4,2025Q1,25,15,34.77646082680809,34.57762317532504,-0.19883765148305343,False
license_W2,3,top3,5,2024Q4,2025Q1,25,15,34.77646082680809,34.57762317532504,-0.19883765148305343,False
license_W2,3,top3,10,2024Q4,2025Q1,25,15,34.77646082680809,34.57762317532504,-0.19883765148305343,False
strict_W1,1,p90,1,2024Q2,2025Q1,22,2,32.003295825697364,30.08623735677516,-1.9170584689222032,True
strict_W1,1,p90,3,2024Q2,2024Q4,22,5,32.003295825697364,31.505483600623982,-0.49781222507338185,False
strict_W1,1,p90,5,2024Q2,2024Q4,22,5,32.003295825697364,31.505483600623982,-0.49781222507338185,False
strict_W1,1,p90,10,2024Q2,2024Q3,22,16,32.003295825697364,36.78866062796827,4.785364802270905,False
strict_W1,1,p95,1,2024Q2,2025Q1,22,2,33.01831747225294,30.222182584060665,-2.796134888192274,True
strict_W1,1,p95,3,2024Q2,2024Q4,22,5,33.01831747225294,32.38392346908129,-0.63439400317165,False
strict_W1,1,p95,5,2024Q2,2024Q4,22,5,33.01831747225294,32.38392346908129,-0.63439400317165,False
strict_W1,1,p95,10,2024Q2,2024Q3,22,16,33.01831747225294,38.11626137199371,5.09794389974077,False
strict_W1,1,top3,1,2024Q2,2025Q1,22,2,33.58669576607503,28.998675538491128,-4.588020227583904,True
strict_W1,1,top3,3,2024Q2,2024Q4,22,5,33.58669576607503,26.04053216657182,-7.546163599503213,False
strict_W1,1,top3,5,2024Q2,2024Q4,22,5,33.58669576607503,26.04053216657182,-7.546163599503213,False
strict_W1,1,top3,10,2024Q2,2024Q3,22,16,33.58669576607503,37.339488276157454,3.752792510082422,False
strict_W1,2,p90,1,2024Q3,2025Q1,38,7,33.77833756615978,31.519822021823142,-2.2585155443366354,False
strict_W1,2,p90,3,2024Q3,2025Q1,38,7,33.77833756615978,31.519822021823142,-2.2585155443366354,False
strict_W1,2,p90,5,2024Q3,2025Q1,38,7,33.77833756615978,31.519822021823142,-2.2585155443366354,False
strict_W1,2,p90,10,2024Q3,2024Q4,38,21,33.77833756615978,35.56935395079021,1.7910163846304314,False
strict_W1,2,p95,1,2024Q3,2025Q1,38,7,35.935145953943625,32.39109267968087,-3.544053274262758,False
strict_W1,2,p95,3,2024Q3,2025Q1,38,7,35.935145953943625,32.39109267968087,-3.544053274262758,False
strict_W1,2,p95,5,2024Q3,2025Q1,38,7,35.935145953943625,32.39109267968087,-3.544053274262758,False
strict_W1,2,p95,10,2024Q3,2024Q4,38,21,35.935145953943625,38.00796730514634,2.0728213512027125,False
strict_W1,2,top3,1,2024Q3,2025Q1,38,7,37.339488276157454,30.830218381378938,-6.509269894778516,False
strict_W1,2,top3,3,2024Q3,2025Q1,38,7,37.339488276157454,30.830218381378938,-6.509269894778516,False
strict_W1,2,top3,5,2024Q3,2025Q1,38,7,37.339488276157454,30.830218381378938,-6.509269894778516,False
strict_W1,2,top3,10,2024Q3,2024Q4,38,21,37.339488276157454,37.339488276157454,0.0,False
strict_W1,3,p90,1,2024Q4,2025Q1,43,23,33.22170103757875,35.107955828139886,1.8862547905611393,False
strict_W1,3,p90,3,2024Q4,2025Q1,43,23,33.22170103757875,35.107955828139886,1.8862547905611393,False
strict_W1,3,p90,5,2024Q4,2025Q1,43,23,33.22170103757875,35.107955828139886,1.8862547905611393,False
strict_W1,3,p90,10,2024Q4,2025Q1,43,23,33.22170103757875,35.107955828139886,1.8862547905611393,False
strict_W1,3,p95,1,2024Q4,2025Q1,43,23,35.5580856489586,37.76410596971072,2.206020320752117,False
strict_W1,3,p95,3,2024Q4,2025Q1,43,23,35.5580856489586,37.76410596971072,2.206020320752117,False
strict_W1,3,p95,5,2024Q4,2025Q1,43,23,35.5580856489586,37.76410596971072,2.206020320752117,False
strict_W1,3,p95,10,2024Q4,2025Q1,43,23,35.5580856489586,37.76410596971072,2.206020320752117,False
strict_W1,3,top3,1,2024Q4,2025Q1,43,23,37.339488276157454,37.339488276157454,0.0,False
strict_W1,3,top3,3,2024Q4,2025Q1,43,23,37.339488276157454,37.339488276157454,0.0,False
strict_W1,3,top3,5,2024Q4,2025Q1,43,23,37.339488276157454,37.339488276157454,0.0,False
strict_W1,3,top3,10,2024Q4,2025Q1,43,23,37.339488276157454,37.339488276157454,0.0,False
