budget,split,bootstrap_replicate,cost_model,Q0,L_ctx,cap,oracle_loss,oracle_N_B,oracle_D_B,oracle_Q_B,oracle_budget_ratio
1e+19,train,172,logarithmic,0.2,2048,5x,3.20242703911,0.460841322189,1.80103125023,1,1
1e+19,train,172,logarithmic,0.2,2048,free,3.20242703911,0.460841288873,1.80103131949,1,1
1e+19,train,172,logarithmic,0.2,32768,1x,3.31578999252,0.300450718014,1.5697837717,1,1
1e+19,train,172,logarithmic,0.2,32768,2x,3.31578999252,0.300450744321,1.56978369032,1,1
1e+19,train,172,logarithmic,0.2,32768,3x,3.31578999252,0.300450726162,1.5697837465,1,1
1e+19,train,172,logarithmic,0.2,32768,5x,3.31578999252,0.300450732265,1.56978372762,1,1
1e+19,train,172,logarithmic,0.2,32768,free,3.31578999252,0.300450730709,1.56978373243,1,1
1e+19,train,172,logarithmic,0.8,2048,1x,3.04694716017,0.279891700496,4.55511297008,1,1
1e+19,train,172,logarithmic,0.8,2048,2x,3.04694716017,0.279891701911,4.55511295127,1,1
1e+19,train,172,logarithmic,0.8,2048,3x,3.04694716017,0.279891699299,4.555112986,1,1
1e+19,train,172,logarithmic,0.8,2048,5x,3.04694716017,0.279891701296,4.55511295944,1,1
1e+19,train,172,logarithmic,0.8,2048,free,3.04694716017,0.279891689325,4.55511311864,1,1
1e+19,train,172,logarithmic,0.8,32768,1x,3.17972920977,0.194964799949,3.51018646899,1,1
1e+19,train,172,logarithmic,0.8,32768,2x,3.17972920977,0.194964799949,3.51018646899,1,1
1e+19,train,172,logarithmic,0.8,32768,3x,3.17972920977,0.194964799949,3.51018646899,1,1
1e+19,train,172,logarithmic,0.8,32768,5x,3.17972920977,0.194964811091,3.51018629665,1,1
1e+19,train,172,logarithmic,0.8,32768,free,3.17972920977,0.194964799949,3.51018646899,1,1
1e+19,train,124,exponential,0.2,2048,1x,3.2002867932,0.371493316,3.07507520988,0.750713018186,1
1e+19,train,124,exponential,0.2,2048,2x,3.2002867932,0.371493316,3.07507520988,0.750713018186,1
1e+19,train,124,exponential,0.2,2048,3x,3.2002867932,0.37149338781,3.07507443645,0.750713084123,1
1e+19,train,124,exponential,0.2,2048,5x,3.2002867932,0.371493445275,3.0750740342,0.750713094642,1
1e+19,train,124,exponential,0.2,2048,free,3.2002867932,0.371493377494,3.07507453237,0.750713077612,1
1e+19,train,124,exponential,0.2,32768,1x,3.33120553043,0.262605305729,2.23548418576,0.799279559097,1
1e+19,train,124,exponential,0.2,32768,2x,3.33120553043,0.262605164254,2.23548500639,0.799279577542,1
1e+19,train,124,exponential,0.2,32768,3x,3.33120553043,0.262605179051,2.23548496153,0.799279564321,1
1e+19,train,124,exponential,0.2,32768,5x,3.33120553043,0.262605305729,2.23548418576,0.799279559097,1
1e+19,train,124,exponential,0.2,32768,free,3.33120553043,0.262605305729,2.23548418576,0.799279559097,1
1e+19,train,124,exponential,0.8,2048,1x,3.09371067363,0.249156694447,6.26176135393,0.8,1
1e+19,train,124,exponential,0.8,2048,2x,3.09371067363,0.249156694447,6.26176135393,0.8,1
1e+19,train,124,exponential,0.8,2048,3x,3.09371067363,0.249156694447,6.26176135393,0.8,1
