lambda_p,budget,strategy,support_class,N_B,D_B,Q_B,loss,improvement,p_optimum_tied
0.5,1e+24,P2_continuous_support,in-support,39.56184334,3656.99670841,1,1.63820243989,0.277793956479,False
0.5,1e+24,P3_loose_simplex,in-support,39.56184334,3656.99670841,1,1.4694789993,0.446517397067,False
0.75,1e+19,P0_reference,in-support,0.311384923873,3.95550272052,0.724121163537,3.18042337194,-0,False
0.75,1e+19,P1_observed_support,in-support,0.311384923873,3.95550272052,0.724121163537,2.80744597622,0.37297739572,False
0.75,1e+19,P2_continuous_support,in-support,0.311384923873,3.95550272052,0.724121163537,2.76373243722,0.416690934718,False
0.75,1e+19,P3_loose_simplex,in-support,0.311384923873,3.95550272052,0.724121163537,2.51064727634,0.669776095601,False
0.75,1e+22,P0_reference,in-support,5.43315455833,245.591189004,1,2.15470427308,-0,False
0.75,1e+22,P1_observed_support,in-support,5.43315455833,245.591189004,1,1.78172687736,0.37297739572,False
0.75,1e+22,P2_continuous_support,in-support,5.43315455833,245.591189004,1,1.73801333836,0.416690934718,False
0.75,1e+22,P3_loose_simplex,in-support,5.43315455833,245.591189004,1,1.48492817748,0.669776095601,False
0.75,1e+24,P0_reference,in-support,39.56184334,3656.99670841,1,1.91599639637,-0,False
0.75,1e+24,P1_observed_support,in-support,39.56184334,3656.99670841,1,1.54301900065,0.37297739572,False
0.75,1e+24,P2_continuous_support,in-support,39.56184334,3656.99670841,1,1.49930546165,0.416690934718,False
0.75,1e+24,P3_loose_simplex,in-support,39.56184334,3656.99670841,1,1.24622030077,0.669776095601,False
1,1e+19,P0_reference,in-support,0.311384923873,3.95550272052,0.724121163537,3.18042337194,-0,False
1,1e+19,P1_observed_support,in-support,0.311384923873,3.95550272052,0.724121163537,2.68312017765,0.497303194293,False
1,1e+19,P2_continuous_support,in-support,0.311384923873,3.95550272052,0.724121163537,2.62483545898,0.555587912958,False
1,1e+19,P3_loose_simplex,in-support,0.311384923873,3.95550272052,0.724121163537,2.28738857781,0.893034794135,False
1,1e+22,P0_reference,in-support,5.43315455833,245.591189004,1,2.15470427308,-0,False
1,1e+22,P1_observed_support,in-support,5.43315455833,245.591189004,1,1.65740107879,0.497303194293,False
1,1e+22,P2_continuous_support,in-support,5.43315455833,245.591189004,1,1.59911636012,0.555587912958,False
1,1e+22,P3_loose_simplex,in-support,5.43315455833,245.591189004,1,1.26166947895,0.893034794135,False
1,1e+24,P0_reference,in-support,39.56184334,3656.99670841,1,1.91599639637,-0,False
1,1e+24,P1_observed_support,in-support,39.56184334,3656.99670841,1,1.41869320208,0.497303194293,False
1,1e+24,P2_continuous_support,in-support,39.56184334,3656.99670841,1,1.36040848341,0.555587912958,False
1,1e+24,P3_loose_simplex,in-support,39.56184334,3656.99670841,1,1.02296160224,0.893034794135,False
1.25,1e+19,P0_reference,in-support,0.311384923873,3.95550272052,0.724121163537,3.18042337194,-0,False
1.25,1e+19,P1_observed_support,in-support,0.311384923873,3.95550272052,0.724121163537,2.55879437907,0.621628992866,False
1.25,1e+19,P2_continuous_support,in-support,0.311384923873,3.95550272052,0.724121163537,2.48593848074,0.694484891197,False
1.25,1e+19,P3_loose_simplex,in-support,0.311384923873,3.95550272052,0.724121163537,2.06412987927,1.11629349267,False
1.25,1e+22,P0_reference,in-support,5.43315455833,245.591189004,1,2.15470427308,-0,False
