family,N_params_B,D_tokens_B,val_loss,is_converged,model_name,FLOPs,publication_date,organization,accessibility,country,predicted,residual,scale_band
DeepSeek-Coder-V2 236B,236,3191,1.8744,1,DeepSeek-Coder-V2 236B,1.285e+24,2024-06-17,DeepSeek,Open weights (restricted use),China,1.8747114,0.0003113998326,100-300B
DeepSeek-V2 (MoE-236B),236,8100,1.8448,1,DeepSeek-V2 (MoE-236B),1.02e+24,2024-05-07,DeepSeek,Open weights (restricted use),China,1.844951073,0.0001510727253,100-300B
Yuan 1.0,245.7,180,2.0335,1,Yuan 1.0,3.538e+23,2021-10-12,Inspur,API access,China,2.034237883,0.0007378832966,100-300B
Aramco Metabrain AI,250,7000,1.8478,1,Aramco Metabrain AI,1.05e+25,2024-03-04,Saudi Aramco,Unreleased,Saudi Arabia,1.84804529,0.0002452899239,100-300B
Llama Nemotron Ultra 253B,253,603,1.95,1,Llama Nemotron Ultra 253B,3.911e+25,2025-03-18,NVIDIA,Open weights (restricted use),United States of America,1.950463637,0.0004636367761,100-300B
ERNIE 3.0 Titan,260,668,1.9436,1,ERNIE 3.0 Titan,1.042e+24,2021-12-23,"Baidu,Peng Cheng Laboratory",Hosted access (no API),"China,China",1.944126664,0.0005266644355,100-300B
ST-MoE,269,1500,1.9024,1,ST-MoE,2.9e+23,2022-02-17,"Google,Google Brain,Google Research",Unreleased,"United States of America,United States of America,United States of America",1.902813097,0.0004130967729,100-300B
Gopher (280B),280,300,1.9926,1,Gopher (280B),6.31e+23,2021-12-08,DeepMind,Unreleased,United Kingdom of Great Britain and Northern Ireland,1.993242905,0.0006429053172,100-300B
"Ling-Plus (""Bailing"")",290,9000,1.8381,1,"Ling-Plus (""Bailing"")",1.555e+24,2025-03-10,Ant Group,Open weights (unrestricted),China,1.838310636,0.0002106360564,100-300B
ERNIE-4.5-300B-A47B,300,1566.7,1.8986,1,ERNIE-4.5-300B-A47B,2.82e+24,2025-06-29,Baidu,Open weights (unrestricted),China,1.898951165,0.0003511648064,100-300B
EXAONE 1.0,300,942,1.9227,1,EXAONE 1.0,1.696e+24,2021-12-14,LG,Unreleased,Korea (Republic of),1.923164538,0.0004645380683,100-300B
SB-LM,300,1800,1.8926,1,SB-LM,1.449e+18,2007-06-22,Google,,United States of America,1.892921144,0.0003211444171,100-300B
MiMo-V2-Flash,309,1310.7,1.9062,1,MiMo-V2-Flash,2.43e+24,2025-12-16,Xiaomi Corp,Open weights (unrestricted),China,1.906544219,0.0003442190364,300B-1T
Grok-1,314,6200,1.8474,1,Grok-1,2.9e+24,2023-11-04,xAI,Open weights (unrestricted),United States of America,1.847602263,0.0002022630975,300B-1T
AMIE (Articulate Medical Intelligence Explorer),340,3598,1.8637,1,AMIE (Articulate Medical Intelligence Explorer),7.34e+24,2025-04-09,"Google DeepMind,Google Research",Unreleased,"United States of America,United States of America",1.86397869,0.0002786897493,300B-1T
Nemotron-4 340B,340,9000,1.8354,1,Nemotron-4 340B,1.8e+25,2024-06-14,NVIDIA,Open weights (unrestricted),United States of America,1.835599482,0.0001994817632,300B-1T
PaLM 2,340,3600,1.8637,1,PaLM 2,7.34e+24,2023-05-10,Google,API access,United States of America,1.863959189,0.0002591891345,300B-1T
GLM-4.5,355,23100,1.8123,1,GLM-4.5,4.42e+24,2025-08-05,"Z.ai (Zhipu AI),Tsinghua University",Open weights (unrestricted),"China,China",1.812393135,9.313520424e-05,300B-1T
GLM-4.6,357,23000,1.8123,1,GLM-4.6,4.42e+24,2025-09-30,"Z.ai (Zhipu AI),Tsinghua University",Open weights (unrestricted),"China,China",1.812391925,9.192538433e-05,300B-1T
GLM-4.7,358,2057.7,1.884,1,GLM-4.7,4.42e+24,2025-12-22,Z.ai (Zhipu AI),Open weights (unrestricted),China,1.88435725,0.000357249537,300B-1T
Hunyuan-Large,389,7000,1.8403,1,Hunyuan-Large,3.492e+24,2024-11-06,Tencent,Open weights (restricted use),China,1.840485797,0.0001857970049,300B-1T
Arcee Trinity Large,398,555.3,1.9471,1,Arcee Trinity Large,1.326e+24,2026-02-19,"Prime Intellect,Arcee AI",Open weights (restricted use),"United States of America,United States of America",1.947585585,0.0004855845323,300B-1T
Llama 4 Maverick,400,30000,1.8051,1,Llama 4 Maverick,2.244e+24,2025-04-05,Meta AI,Open weights (restricted use),United States of America,1.805225078,0.0001250776555,300B-1T
Hermes 3 405B,405,0.3,3.4691,1,Hermes 3 405B,,2024-08-14,Nous Research,Open weights (restricted use),United States of America,3.473055655,0.003955655319,300B-1T
Llama 3.1-405B,405,15600,1.8188,1,Llama 3.1-405B,3.8e+25,2024-07-23,Meta AI,Open weights (restricted use),United States of America,1.818940483,0.0001404832873,300B-1T
MiniMax-M1-80k,456,7500,1.8359,1,MiniMax-M1-80k,4.324e+24,2025-06-13,MiniMax,Open weights (unrestricted),China,1.836044072,0.0001440716517,300B-1T
MiniMax-M1-40k,456,7500,1.8359,1,MiniMax-M1-40k,4.186e+24,2025-06-13,MiniMax,Open weights (unrestricted),China,1.836044072,0.0001440716517,300B-1T
MiniMax-Text-01,456,7200,1.837,1,MiniMax-Text-01,3.142e+24,2025-01-14,MiniMax,Open weights (restricted use),China,1.837217159,0.0002171588486,300B-1T
Qwen3-Coder-480B-A35B,480,7500,1.8351,1,Qwen3-Coder-480B-A35B,1.575e+24,2025-07-22,Alibaba,Open weights (unrestricted),China,1.835280725,0.000180725162,300B-1T
Arctic,480,133.1,2.0479,1,Arctic,3.835e+23,2024-04-24,Snowflake,Open weights (unrestricted),United States of America,2.04870392,0.0008039195238,300B-1T
Doubao-pro,500,8350,1.8315,1,Doubao-pro,2.505e+25,2024-10-28,ByteDance,API access,China,1.831660748,0.0001607481206,300B-1T
Microsoft MAI-1 (2024 unreleased),500,5.3,2.5084,1,Microsoft MAI-1 (2024 unreleased),1.603e+22,2024-05-06,Microsoft,Hosted access (no API),United States of America,2.510306167,0.001906166943,300B-1T
MegaScale (530B),530,300,1.9824,1,MegaScale (530B),9.691e+23,2024-02-23,"ByteDance,Peking University",Unreleased,"China,China",1.983078632,0.0006786318723,300B-1T
MegaScale (Production),530,1226.4,1.9008,1,MegaScale (Production),3.9e+24,2024-02-23,"ByteDance,Peking University",Unreleased,"China,China",1.901221244,0.0004212444719,300B-1T
Megatron-Turing NLG 530B,530,270,1.9899,1,Megatron-Turing NLG 530B,8.586e+23,2021-10-11,"Microsoft,NVIDIA",Unreleased,"United States of America,United States of America",1.990600098,0.0007000976166,300B-1T
U-PaLM (540B),540,1.3,2.8812,1,U-PaLM (540B),2.53e+24,2022-10-20,Google,Unreleased,United States of America,2.883980706,0.002780705776,300B-1T
Flan-PaLM 540B,540,1.4,2.8576,1,Flan-PaLM 540B,2.54e+24,2022-10-20,Google,Unreleased,United States of America,2.860322804,0.002722803818,300B-1T
Minerva (540B),540.4,26,2.2285,1,Minerva (540B),2.742e+24,2022-06-29,Google,Unreleased,United States of America,2.229797144,0.001297143997,300B-1T
PaLM (540B),540.4,780,1.9234,1,PaLM (540B),2.527e+24,2022-04-04,Google Research,Unreleased,United States of America,1.923827913,0.0004279129351,300B-1T
LongCat-Flash,560,23000,1.8055,1,LongCat-Flash,3.726e+24,2025-09-01,Meituan Inc,Open weights (unrestricted),China,1.805581489,8.148927888e-05,300B-1T
Hunyuan-TurboS,560,16000,1.8134,1,Hunyuan-TurboS,5.4e+24,2025-03-11,Tencent,API access,China,1.813557416,0.0001574156894,300B-1T
SenseChat 5.0,600,1835,1.8811,1,SenseChat 5.0,,2024-04-23,SenseTime,Hosted access (no API),Hong Kong,1.881414293,0.0003142932873,300B-1T
GShard (600B),600,1000,1.909,1,GShard (600B),1.33e+22,2020-06-30,Google,Unreleased,United States of America,1.909450097,0.00045009747,300B-1T
DeepSeek-V3.2-Exp,671,943.7,1.9105,1,DeepSeek-V3.2-Exp,4.18e+24,2025-09-29,DeepSeek,Open weights (unrestricted),China,1.910883155,0.000383154694,300B-1T
DeepSeek-V3.1-Terminus,671,839,1.9165,1,DeepSeek-V3.1-Terminus,3.594e+24,2025-09-22,DeepSeek,Open weights (unrestricted),China,1.916985149,0.0004851486638,300B-1T
DeepSeek-V3.1,671,840,1.9165,1,DeepSeek-V3.1,3.594e+24,2025-08-21,DeepSeek,Open weights (unrestricted),China,1.916922327,0.0004223272664,300B-1T
DeepSeek-R1 (May 2025),671,14800,1.8128,1,DeepSeek-R1 (May 2025),4.02e+24,2025-05-28,DeepSeek,Open weights (unrestricted),China,1.812923852,0.0001238518702,300B-1T
