folder,file,model_name,result_date,tasks
AI-MO_NuminaMath-7B-CoT,detailed_results\AI-MO_NuminaMath-7B-CoT\results_2024-09-11T22-04-44.864778.json,AI-MO/NuminaMath-7B-CoT,1726090513.4144747,44
AI-MO_NuminaMath-7B-TIR,detailed_results\AI-MO_NuminaMath-7B-TIR\results_2024-07-25T13-40-31.863736.json,AI-MO/NuminaMath-7B-TIR,1721912280.7488973,44
AI-Sweden-Models_gpt-sw3-40b,detailed_results\AI-Sweden-Models_gpt-sw3-40b\results_2024-07-26T18-58-19.331750.json,AI-Sweden-Models/gpt-sw3-40b,1722013254.9788163,44
AI-Sweden-Models_Llama-3-8B-instruct,detailed_results\AI-Sweden-Models_Llama-3-8B-instruct\results_2024-07-22T12-09-41.340187.json,AI-Sweden-Models/Llama-3-8B-instruct,1721647412.3077953,44
AI4free_Dhanishtha,detailed_results\AI4free_Dhanishtha\results_2025-02-23T21-34-08.816420.json,AI4free/Dhanishtha,1740345069.857162,44
AI4free_t2,detailed_results\AI4free_t2\results_2025-02-27T13-24-19.191994.json,AI4free/t2,1740660972.604748,44
AicoresSecurity_Cybernet-Sec-3B-R1-V0,detailed_results\AicoresSecurity_Cybernet-Sec-3B-R1-V0\results_2025-02-27T08-26-21.525046.json,AicoresSecurity/Cybernet-Sec-3B-R1-V0,1740643403.146409,44
AicoresSecurity_Cybernet-Sec-3B-R1-V0-Coder,detailed_results\AicoresSecurity_Cybernet-Sec-3B-R1-V0-Coder\results_2025-02-27T08-25-30.321172.json,AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,1740643387.6055121,44
AicoresSecurity_Cybernet-Sec-3B-R1-V1,detailed_results\AicoresSecurity_Cybernet-Sec-3B-R1-V1\results_2025-03-07T07-38-49.658744.json,AicoresSecurity/Cybernet-Sec-3B-R1-V1,1741331739.29394,44
AicoresSecurity_Cybernet-Sec-3B-R1-V1.1,detailed_results\AicoresSecurity_Cybernet-Sec-3B-R1-V1.1\results_2025-03-07T20-20-00.411476.json,AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,1741377346.4537568,44
AIDC-AI_Marco-o1,detailed_results\AIDC-AI_Marco-o1\results_2025-02-01T05-51-39.702980.json,AIDC-AI/Marco-o1,1738387235.2471664,44
akhadangi_Llama3.2.1B.0.01-First,detailed_results\akhadangi_Llama3.2.1B.0.01-First\results_2025-03-10T11-47-38.291006.json,akhadangi/Llama3.2.1B.0.01-First,1741606384.9662817,44
akhadangi_Llama3.2.1B.0.1-First,detailed_results\akhadangi_Llama3.2.1B.0.1-First\results_2025-03-10T11-38-49.477216.json,akhadangi/Llama3.2.1B.0.1-First,1741605864.8485591,44
akhadangi_Llama3.2.1B.BaseFiT,detailed_results\akhadangi_Llama3.2.1B.BaseFiT\results_2025-03-10T11-54-29.662487.json,akhadangi/Llama3.2.1B.BaseFiT,1741606793.143208,44
Alepach_notHumpback-M0,detailed_results\Alepach_notHumpback-M0\results_2025-01-06T21-45-58.081166.json,Alepach/notHumpback-M0,1736198552.7743824,44
Alepach_notHumpback-M1,detailed_results\Alepach_notHumpback-M1\results_2025-01-06T21-45-56.042287.json,Alepach/notHumpback-M1,1736198552.7743998,44
Alepach_notHumpback-M1-v2,detailed_results\Alepach_notHumpback-M1-v2\results_2025-01-20T06-48-43.444170.json,Alepach/notHumpback-M1-v2,1737354338.6171932,44
Alibaba-NLP_gte-Qwen2-7B-instruct,detailed_results\Alibaba-NLP_gte-Qwen2-7B-instruct\results_2024-08-12T13-03-04.687518.json,Alibaba-NLP/gte-Qwen2-7B-instruct,1723462617.4118228,44
allenai_Llama-3.1-Tulu-3-70B,detailed_results\allenai_Llama-3.1-Tulu-3-70B\results_2024-11-28T10-27-03.067415.json,allenai/Llama-3.1-Tulu-3-70B,1732702441.0914435,44
allenai_Llama-3.1-Tulu-3-8B-DPO,detailed_results\allenai_Llama-3.1-Tulu-3-8B-DPO\results_2024-11-22T10-05-59.254446.json,allenai/Llama-3.1-Tulu-3-8B-DPO,1732268371.9714892,44
allenai_Llama-3.1-Tulu-3-8B-RM,detailed_results\allenai_Llama-3.1-Tulu-3-8B-RM\results_2024-11-22T10-23-40.491308.json,allenai/Llama-3.1-Tulu-3-8B-RM,1732269274.5499184,44
allenai_Llama-3.1-Tulu-3-8B-SFT,detailed_results\allenai_Llama-3.1-Tulu-3-8B-SFT\results_2024-11-22T10-12-59.705361.json,allenai/Llama-3.1-Tulu-3-8B-SFT,1732268761.614373,44
allknowingroger_Gemma2Slerp1-2.6B,detailed_results\allknowingroger_Gemma2Slerp1-2.6B\results_2024-12-06T19-34-34.054813.json,allknowingroger/Gemma2Slerp1-2.6B,1733510837.9406412,44
allknowingroger_Gemma2Slerp1-27B,detailed_results\allknowingroger_Gemma2Slerp1-27B\results_2024-12-06T21-29-35.095408.json,allknowingroger/Gemma2Slerp1-27B,1733510840.1253538,44
allknowingroger_Gemma2Slerp2-27B,detailed_results\allknowingroger_Gemma2Slerp2-27B\results_2024-12-06T21-42-19.850532.json,allknowingroger/Gemma2Slerp2-27B,1733510837.9448214,44
allknowingroger_Gemma2Slerp4-27B,detailed_results\allknowingroger_Gemma2Slerp4-27B\results_2024-12-06T21-42-08.193662.json,allknowingroger/Gemma2Slerp4-27B,1733510837.779354,44
allknowingroger_GemmaSlerp5-10B,detailed_results\allknowingroger_GemmaSlerp5-10B\results_2024-11-22T21-11-53.068712.json,allknowingroger/GemmaSlerp5-10B,1732304388.0646763,44
allknowingroger_GemmaStock1-27B,detailed_results\allknowingroger_GemmaStock1-27B\results_2024-12-06T21-32-03.119459.json,allknowingroger/GemmaStock1-27B,1733510837.7854044,44
allknowingroger_Llama3.1-60B,detailed_results\allknowingroger_Llama3.1-60B\results_2024-10-11T14-34-09.525837.json,allknowingroger/Llama3.1-60B,1728625110.5172842,44
allknowingroger_Mistralmash2-7B-s,detailed_results\allknowingroger_Mistralmash2-7B-s\results_2024-09-03T06-57-24.156090.json,allknowingroger/Mistralmash2-7B-s,1725345066.7083104,44
allknowingroger_MistralPhi3-11B,detailed_results\allknowingroger_MistralPhi3-11B\results_2024-09-03T06-29-04.715113.json,allknowingroger/MistralPhi3-11B,1725343268.3742964,44
allknowingroger_Phi3mash1-17B-pass,detailed_results\allknowingroger_Phi3mash1-17B-pass\results_2024-09-03T06-44-10.031807.json,allknowingroger/Phi3mash1-17B-pass,1725342384.2074263,44
allknowingroger_Qwen2.5-42B-AGI,detailed_results\allknowingroger_Qwen2.5-42B-AGI\results_2024-10-22T00-42-05.989075.json,allknowingroger/Qwen2.5-42B-AGI,1729536630.693965,44
allknowingroger_Qwen2.5-7B-task3,detailed_results\allknowingroger_Qwen2.5-7B-task3\results_2024-11-06T18-32-30.118491.json,allknowingroger/Qwen2.5-7B-task3,1730916483.1056476,44
allknowingroger_Qwen2.5-7B-task4,detailed_results\allknowingroger_Qwen2.5-7B-task4\results_2024-11-06T18-31-18.397337.json,allknowingroger/Qwen2.5-7B-task4,1730916310.779954,44
allknowingroger_QwenSlerp12-7B,detailed_results\allknowingroger_QwenSlerp12-7B\results_2024-11-22T20-03-47.750767.json,allknowingroger/QwenSlerp12-7B,1732304210.1894011,44
allknowingroger_Qwenslerp3-14B,detailed_results\allknowingroger_Qwenslerp3-14B\results_2024-10-21T20-32-17.784584.json,allknowingroger/Qwenslerp3-14B,1729537455.6911056,44
allknowingroger_Qwenslerp3-7B,detailed_results\allknowingroger_Qwenslerp3-7B\results_2024-11-06T18-37-23.836740.json,allknowingroger/Qwenslerp3-7B,1730916801.1049945,44
allknowingroger_QwenSlerp4-14B,detailed_results\allknowingroger_QwenSlerp4-14B\results_2024-12-06T19-49-12.629259.json,allknowingroger/QwenSlerp4-14B,1733510084.618143,44
allknowingroger_QwenSlerp6-14B,detailed_results\allknowingroger_QwenSlerp6-14B\results_2024-12-06T19-39-20.271977.json,allknowingroger/QwenSlerp6-14B,1733509822.173035,44
allknowingroger_QwenStock1-14B,detailed_results\allknowingroger_QwenStock1-14B\results_2024-12-06T20-08-10.157704.json,allknowingroger/QwenStock1-14B,1733510838.1006048,44
allknowingroger_QwenStock2-14B,detailed_results\allknowingroger_QwenStock2-14B\results_2024-12-06T20-07-24.006733.json,allknowingroger/QwenStock2-14B,1733510837.814566,44
