budget,bootstrap_replicate,cost_model,Q0,L_ctx,optimum_loss
1e+22,12,logarithmic,0.8,32768,2.19312856673
1e+22,13,exponential,0.2,2048,2.15114298462
1e+22,13,exponential,0.2,32768,2.19871370703
1e+22,13,exponential,0.8,2048,2.1489183328
1e+22,13,exponential,0.8,32768,2.19693918158
1e+22,13,power,0.2,2048,2.1529387503
1e+22,13,power,0.2,32768,2.20015947369
1e+22,13,power,0.8,2048,2.14917315241
1e+22,13,power,0.8,32768,2.19714146475
1e+22,13,logarithmic,0.2,2048,2.14849221467
1e+22,13,logarithmic,0.2,32768,2.19660150331
1e+22,13,logarithmic,0.8,2048,2.1440330659
1e+22,13,logarithmic,0.8,32768,2.19311546567
1e+22,29,exponential,0.2,2048,2.15114792425
1e+22,29,exponential,0.2,32768,2.19872035456
1e+22,29,exponential,0.8,2048,2.14892275396
1e+22,29,exponential,0.8,32768,2.19694543701
1e+22,29,power,0.2,2048,2.15294409266
1e+22,29,power,0.2,32768,2.20016643093
1e+22,29,power,0.8,2048,2.14917763413
1e+22,29,power,0.8,32768,2.19714776557
1e+22,29,logarithmic,0.2,2048,2.14849653385
1e+22,29,logarithmic,0.2,32768,2.19660768255
1e+22,29,logarithmic,0.8,2048,2.14403625933
1e+22,29,logarithmic,0.8,32768,2.19312082563
1e+22,53,exponential,0.2,2048,2.15114899757
1e+22,53,exponential,0.2,32768,2.19872330846
1e+22,53,exponential,0.8,2048,2.14892463982
1e+22,53,exponential,0.8,32768,2.19694897445
1e+22,53,power,0.2,2048,2.15294453233
1e+22,53,power,0.2,32768,2.20016892179
1e+22,53,power,0.8,2048,2.14917942527
1e+22,53,power,0.8,32768,2.1971512356
1e+22,53,logarithmic,0.2,2048,2.1484985791
1e+22,53,logarithmic,0.2,32768,2.19661133303
1e+22,53,logarithmic,0.8,2048,2.14404005467
1e+22,53,logarithmic,0.8,32768,2.19312568448
1e+22,68,exponential,0.2,2048,2.15114431739
1e+22,68,exponential,0.2,32768,2.19871990549
1e+22,68,exponential,0.8,2048,2.14892026384
1e+22,68,exponential,0.8,32768,2.19694581072
1e+22,68,power,0.2,2048,2.15293961363
1e+22,68,power,0.2,32768,2.20016532812
1e+22,68,power,0.8,2048,2.14917501393
1e+22,68,power,0.8,32768,2.1971480443
1e+22,68,logarithmic,0.2,2048,2.14849426257
1e+22,68,logarithmic,0.2,32768,2.19660821552
1e+22,68,logarithmic,0.8,2048,2.14403638672
1e+22,68,logarithmic,0.8,32768,2.19312305837
1e+22,101,exponential,0.2,2048,2.15115447652
1e+22,101,exponential,0.2,32768,2.19872447484
1e+22,101,exponential,0.8,2048,2.14893072862
1e+22,101,exponential,0.8,32768,2.19695061821
1e+22,101,power,0.2,2048,2.15294953302
1e+22,101,power,0.2,32768,2.2001697081
1e+22,101,power,0.8,2048,2.14918544318
1e+22,101,power,0.8,32768,2.19715282431
1e+22,101,logarithmic,0.2,2048,2.14850478707
1e+22,101,logarithmic,0.2,32768,2.19661306908
1e+22,101,logarithmic,0.8,2048,2.1440475621
1e+22,101,logarithmic,0.8,32768,2.19312840313
1e+22,102,exponential,0.2,2048,2.15115367854
1e+22,102,exponential,0.2,32768,2.19872838411
1e+22,102,exponential,0.8,2048,2.14892985254
1e+22,102,exponential,0.8,32768,2.19695446675
1e+22,102,power,0.2,2048,2.15294879791
1e+22,102,power,0.2,32768,2.20017366655
1e+22,102,power,0.8,2048,2.14918457606
1e+22,102,power,0.8,32768,2.19715667979
1e+22,102,logarithmic,0.2,2048,2.14850389601
1e+22,102,logarithmic,0.2,32768,2.19661690602
1e+22,102,logarithmic,0.8,2048,2.14404651378
1e+22,102,logarithmic,0.8,32768,2.19313211931
1e+22,125,exponential,0.2,2048,2.15115639635
1e+22,125,exponential,0.2,32768,2.19873348163
1e+22,125,exponential,0.8,2048,2.14893333015
1e+22,125,exponential,0.8,32768,2.19695987882
1e+22,125,power,0.2,2048,2.15295090432
1e+22,125,power,0.2,32768,2.20017850021
1e+22,125,power,0.8,2048,2.14918796652
1e+22,125,power,0.8,32768,2.19716205657
1e+22,125,logarithmic,0.2,2048,2.1485075194
1e+22,125,logarithmic,0.2,32768,2.19662237667
1e+22,125,logarithmic,0.8,2048,2.14405166514
1e+22,125,logarithmic,0.8,32768,2.19313816687
1e+22,129,exponential,0.2,2048,2.15115864398
1e+22,129,exponential,0.2,32768,2.19872564489
1e+22,129,exponential,0.8,2048,2.14893538341
1e+22,129,exponential,0.8,32768,2.19695214084
1e+22,129,power,0.2,2048,2.15295332344
1e+22,129,power,0.2,32768,2.20017060079
1e+22,129,power,0.8,2048,2.14919004094
1e+22,129,power,0.8,32768,2.19715430604
1e+22,129,logarithmic,0.2,2048,2.14850953795
1e+22,129,logarithmic,0.2,32768,2.19661466041
1e+22,129,logarithmic,0.8,2048,2.14405337884
1e+22,129,logarithmic,0.8,32768,2.19313073663
1e+22,184,exponential,0.2,2048,2.15116006579
1e+22,184,exponential,0.2,32768,2.19872715845
1e+22,184,exponential,0.8,2048,2.14893636628
1e+22,184,exponential,0.8,32768,2.19695333917
1e+22,184,power,0.2,2048,2.15295508457
1e+22,184,power,0.2,32768,2.20017236234
1e+22,184,power,0.8,2048,2.1491910752
1e+22,184,power,0.8,32768,2.19715554093
1e+22,184,logarithmic,0.2,2048,2.14851043423
1e+22,184,logarithmic,0.2,32768,2.19661579731
1e+22,184,logarithmic,0.8,2048,2.14405331349
1e+22,184,logarithmic,0.8,32768,2.19313120991
1e+22,199,exponential,0.2,2048,2.15114906066
1e+22,199,exponential,0.2,32768,2.19872094772
1e+22,199,exponential,0.8,2048,2.148925097
1e+22,199,exponential,0.8,32768,2.19694691972
1e+22,199,power,0.2,2048,2.15294428734
1e+22,199,power,0.2,32768,2.20016631805
1e+22,199,power,0.8,2048,2.14917983657
1e+22,199,power,0.8,32768,2.19714914554
1e+22,199,logarithmic,0.2,2048,2.14849911345
1e+22,199,logarithmic,0.2,32768,2.19660933756
1e+22,199,logarithmic,0.8,2048,2.14404143402
1e+22,199,logarithmic,0.8,32768,2.19312432203
1e+24,8,exponential,0.2,2048,1.97939037056
1e+24,8,exponential,0.2,32768,1.97939037056
1e+24,8,exponential,0.8,2048,1.97939037056
1e+24,8,exponential,0.8,32768,1.97939037056
1e+24,8,power,0.2,2048,1.97939037056
1e+24,8,power,0.2,32768,1.97939037056
1e+24,8,power,0.8,2048,1.97939037056
1e+24,8,power,0.8,32768,1.97939037056
1e+24,8,logarithmic,0.2,2048,1.97939037056
1e+24,8,logarithmic,0.2,32768,1.97939037056
1e+24,8,logarithmic,0.8,2048,1.97939037056
1e+24,8,logarithmic,0.8,32768,1.97939037056
1e+24,12,exponential,0.2,2048,1.97942724888
1e+24,12,exponential,0.2,32768,1.97942724888
1e+24,12,exponential,0.8,2048,1.97942724888
1e+24,12,exponential,0.8,32768,1.97942724888
1e+24,12,power,0.2,2048,1.97942724888
1e+24,12,power,0.2,32768,1.97942724888
1e+24,12,power,0.8,2048,1.97942724888
1e+24,12,power,0.8,32768,1.97942724888
1e+24,12,logarithmic,0.2,2048,1.97942724888
1e+24,12,logarithmic,0.2,32768,1.97942724888
1e+24,12,logarithmic,0.8,2048,1.97942724888
1e+24,12,logarithmic,0.8,32768,1.97942724888
1e+24,13,exponential,0.2,2048,1.97940929449
1e+24,13,exponential,0.2,32768,1.97940929449
1e+24,13,exponential,0.8,2048,1.97940929449
1e+24,13,exponential,0.8,32768,1.97940929449
1e+24,13,power,0.2,2048,1.97940929449
1e+24,13,power,0.2,32768,1.97940929449
1e+24,13,power,0.8,2048,1.97940929449
1e+24,13,power,0.8,32768,1.97940929449
1e+24,13,logarithmic,0.2,2048,1.97940929449
1e+24,13,logarithmic,0.2,32768,1.97940929449
1e+24,13,logarithmic,0.8,2048,1.97940929449
1e+24,13,logarithmic,0.8,32768,1.97940929449
1e+24,29,exponential,0.2,2048,1.97940717711
1e+24,29,exponential,0.2,32768,1.97940717711
1e+24,29,exponential,0.8,2048,1.97940717711
1e+24,29,exponential,0.8,32768,1.97940717711
1e+24,29,power,0.2,2048,1.97940717711
1e+24,29,power,0.2,32768,1.97940717711
1e+24,29,power,0.8,2048,1.97940717711
1e+24,29,power,0.8,32768,1.97940717711
1e+24,29,logarithmic,0.2,2048,1.97940717711
1e+24,29,logarithmic,0.2,32768,1.97940717711
1e+24,29,logarithmic,0.8,2048,1.97940717711
1e+24,29,logarithmic,0.8,32768,1.97940717711
1e+24,53,exponential,0.2,2048,1.97939219501
1e+24,53,exponential,0.2,32768,1.97939219501
1e+24,53,exponential,0.8,2048,1.97939219501
1e+24,53,exponential,0.8,32768,1.97939219501
1e+24,53,power,0.2,2048,1.97939219501
1e+24,53,power,0.2,32768,1.97939219501
1e+24,53,power,0.8,2048,1.97939219501
1e+24,53,power,0.8,32768,1.97939219501
1e+24,53,logarithmic,0.2,2048,1.97939219501
1e+24,53,logarithmic,0.2,32768,1.97939219501
1e+24,53,logarithmic,0.8,2048,1.97939219501
1e+24,53,logarithmic,0.8,32768,1.97939219501
1e+24,68,exponential,0.2,2048,1.97937937077
1e+24,68,exponential,0.2,32768,1.97937937077
1e+24,68,exponential,0.8,2048,1.97937937077
1e+24,68,exponential,0.8,32768,1.97937937077
1e+24,68,power,0.2,2048,1.97937937077
1e+24,68,power,0.2,32768,1.97937937077
1e+24,68,power,0.8,2048,1.97937937077
1e+24,68,power,0.8,32768,1.97937937077
1e+24,68,logarithmic,0.2,2048,1.97937937077
1e+24,68,logarithmic,0.2,32768,1.97937937077
1e+24,68,logarithmic,0.8,2048,1.97937937077
1e+24,68,logarithmic,0.8,32768,1.97937937077
1e+24,101,exponential,0.2,2048,1.9794144232
1e+24,101,exponential,0.2,32768,1.9794144232
1e+24,101,exponential,0.8,2048,1.9794144232
1e+24,101,exponential,0.8,32768,1.9794144232
1e+24,101,power,0.2,2048,1.9794144232
1e+24,101,power,0.2,32768,1.9794144232
1e+24,101,power,0.8,2048,1.9794144232
1e+24,101,power,0.8,32768,1.9794144232
1e+24,101,logarithmic,0.2,2048,1.9794144232
1e+24,101,logarithmic,0.2,32768,1.9794144232
1e+24,101,logarithmic,0.8,2048,1.9794144232
1e+24,101,logarithmic,0.8,32768,1.9794144232
1e+24,102,exponential,0.2,2048,1.97939284858
1e+24,102,exponential,0.2,32768,1.97939284858
1e+24,102,exponential,0.8,2048,1.97939284858
1e+24,102,exponential,0.8,32768,1.97939284858
1e+24,102,power,0.2,2048,1.97939284858
1e+24,102,power,0.2,32768,1.97939284858
1e+24,102,power,0.8,2048,1.97939284858
1e+24,102,power,0.8,32768,1.97939284858
1e+24,102,logarithmic,0.2,2048,1.97939284858
1e+24,102,logarithmic,0.2,32768,1.97939284858
1e+24,102,logarithmic,0.8,2048,1.97939284858
1e+24,102,logarithmic,0.8,32768,1.97939284858
1e+24,125,exponential,0.2,2048,1.97934001662
1e+24,125,exponential,0.2,32768,1.97934001662
1e+24,125,exponential,0.8,2048,1.97934001662
1e+24,125,exponential,0.8,32768,1.97934001662
1e+24,125,power,0.2,2048,1.97934001662
1e+24,125,power,0.2,32768,1.97934001662
1e+24,125,power,0.8,2048,1.97934001662
1e+24,125,power,0.8,32768,1.97934001662
1e+24,125,logarithmic,0.2,2048,1.97934001662
1e+24,125,logarithmic,0.2,32768,1.97934001662
1e+24,125,logarithmic,0.8,2048,1.97934001662
1e+24,125,logarithmic,0.8,32768,1.97934001662
1e+24,129,exponential,0.2,2048,1.97943195355
1e+24,129,exponential,0.2,32768,1.97943195355
1e+24,129,exponential,0.8,2048,1.97943195355
1e+24,129,exponential,0.8,32768,1.97943195355
1e+24,129,power,0.2,2048,1.97943195355
1e+24,129,power,0.2,32768,1.97943195355
1e+24,129,power,0.8,2048,1.97943195355
1e+24,129,power,0.8,32768,1.97943195355
1e+24,129,logarithmic,0.2,2048,1.97943195355
1e+24,129,logarithmic,0.2,32768,1.97943195355
1e+24,129,logarithmic,0.8,2048,1.97943195355
1e+24,129,logarithmic,0.8,32768,1.97943195355
1e+24,184,exponential,0.2,2048,1.97943394148
1e+24,184,exponential,0.2,32768,1.97943394148
1e+24,184,exponential,0.8,2048,1.97943394148
1e+24,184,exponential,0.8,32768,1.97943394148
1e+24,184,power,0.2,2048,1.97943394148
1e+24,184,power,0.2,32768,1.97943394148
1e+24,184,power,0.8,2048,1.97943394148
1e+24,184,power,0.8,32768,1.97943394148
1e+24,184,logarithmic,0.2,2048,1.97943394148
1e+24,184,logarithmic,0.2,32768,1.97943394148
1e+24,184,logarithmic,0.8,2048,1.97943394148
1e+24,184,logarithmic,0.8,32768,1.97943394148
1e+24,199,exponential,0.2,2048,1.97940198929
1e+24,199,exponential,0.2,32768,1.97940198929
1e+24,199,exponential,0.8,2048,1.97940198929
1e+24,199,exponential,0.8,32768,1.97940198929
1e+24,199,power,0.2,2048,1.97940198929
1e+24,199,power,0.2,32768,1.97940198929
1e+24,199,power,0.8,2048,1.97940198929
1e+24,199,power,0.8,32768,1.97940198929
1e+24,199,logarithmic,0.2,2048,1.97940198929
1e+24,199,logarithmic,0.2,32768,1.97940198929
1e+24,199,logarithmic,0.8,2048,1.97940198929
1e+24,199,logarithmic,0.8,32768,1.97940198929
