split,budget,policy,bootstrap_replicate,cost_model,Q0,L_ctx,loss,oracle_loss,regret,feasible,cost_ratio
heldout,1e+19,mean_regret,13,power,0.8,32768,3.38284532017,3.24276292458,0.140082395593,True,0.666580719334
heldout,1e+19,mean_regret,13,logarithmic,0.2,2048,3.38284532017,3.20245561514,0.180389705034,True,0.689628732241
heldout,1e+19,mean_regret,13,logarithmic,0.2,32768,3.38284532017,3.3158232633,0.0670220568687,True,1
heldout,1e+19,mean_regret,13,logarithmic,0.8,2048,3.38284532017,3.04695371865,0.335891601517,True,0.330512537129
heldout,1e+19,mean_regret,13,logarithmic,0.8,32768,3.38284532017,3.17974051525,0.203104804921,True,0.640883804888
heldout,1e+19,mean_regret,29,exponential,0.2,2048,3.37496475592,3.19357774196,0.181387013954,True,0.540547488477
heldout,1e+19,mean_regret,29,exponential,0.2,32768,3.37496475592,3.32499181873,0.0499729371887,True,0.850918756236
heldout,1e+19,mean_regret,29,exponential,0.8,2048,3.37496475592,3.08752823131,0.28743652461,True,0.347376287468
heldout,1e+19,mean_regret,29,exponential,0.8,32768,3.37496475592,3.23459961935,0.140365136569,True,0.657747555226
heldout,1e+19,mean_regret,29,power,0.2,2048,3.37496475592,3.23644522971,0.138519526203,True,0.689628732237
heldout,1e+19,mean_regret,29,power,0.2,32768,3.37496475592,3.36933882633,0.00562592958273,True,0.999999999996
heldout,1e+19,mean_regret,29,power,0.8,2048,3.37496475592,3.08752823131,0.28743652461,True,0.356209451575
heldout,1e+19,mean_regret,29,power,0.8,32768,3.37496475592,3.23459961935,0.140365136569,True,0.666580719334
heldout,1e+19,mean_regret,29,logarithmic,0.2,2048,3.37496475592,3.20246762649,0.172497129423,True,0.689628732241
heldout,1e+19,mean_regret,29,logarithmic,0.2,32768,3.37496475592,3.31583194772,0.0591328081975,True,1
heldout,1e+19,mean_regret,29,logarithmic,0.8,2048,3.37496475592,3.04696966208,0.32799509384,True,0.330512537129
heldout,1e+19,mean_regret,29,logarithmic,0.8,32768,3.37496475592,3.17975393368,0.195210822234,True,0.640883804888
heldout,1e+19,mean_regret,53,exponential,0.2,2048,3.37622604045,3.19506601303,0.18116002742,True,0.540547488477
heldout,1e+19,mean_regret,53,exponential,0.2,32768,3.37622604045,3.32613601871,0.0500900217321,True,0.850918756236
heldout,1e+19,mean_regret,53,exponential,0.8,2048,3.37622604045,3.08862708197,0.287598958479,True,0.347376287468
heldout,1e+19,mean_regret,53,exponential,0.8,32768,3.37622604045,3.23541127339,0.140814767052,True,0.657747555226
heldout,1e+19,mean_regret,53,power,0.2,2048,3.37622604045,3.23798533468,0.138240705767,True,0.689628732237
heldout,1e+19,mean_regret,53,power,0.2,32768,3.37622604045,3.37051146371,0.00571457673522,True,0.999999999996
heldout,1e+19,mean_regret,53,power,0.8,2048,3.37622604045,3.08862708197,0.287598958479,True,0.356209451575
heldout,1e+19,mean_regret,53,power,0.8,32768,3.37622604045,3.23541127339,0.140814767052,True,0.666580719334
heldout,1e+19,mean_regret,53,logarithmic,0.2,2048,3.37622604045,3.20246482158,0.17376121887,True,0.689628732241
heldout,1e+19,mean_regret,53,logarithmic,0.2,32768,3.37622604045,3.31582383454,0.0604022059067,True,1
heldout,1e+19,mean_regret,53,logarithmic,0.8,2048,3.37622604045,3.04695430728,0.329271733164,True,0.330512537129
heldout,1e+19,mean_regret,53,logarithmic,0.8,32768,3.37622604045,3.17972924819,0.196496792257,True,0.640883804888
heldout,1e+19,mean_regret,68,exponential,0.2,2048,3.37954703664,3.19865524952,0.180891787129,True,0.540547488477
heldout,1e+19,mean_regret,68,exponential,0.2,32768,3.37954703664,3.33017350562,0.0493735310229,True,0.850918756236
heldout,1e+19,mean_regret,68,exponential,0.8,2048,3.37954703664,3.09280415783,0.286742878812,True,0.347376287468
heldout,1e+19,mean_regret,68,exponential,0.8,32768,3.37954703664,3.24052757196,0.139019464689,True,0.657747555226
heldout,1e+19,mean_regret,68,power,0.2,2048,3.37954703664,3.24223935565,0.137307680997,True,0.689628732237
heldout,1e+19,mean_regret,68,power,0.2,32768,3.37954703664,3.3753248821,0.00422215454639,True,0.999999999996
heldout,1e+19,mean_regret,68,power,0.8,2048,3.37954703664,3.09280415783,0.286742878812,True,0.356209451575
heldout,1e+19,mean_regret,68,power,0.8,32768,3.37954703664,3.24052757196,0.139019464689,True,0.666580719334
heldout,1e+19,mean_regret,68,logarithmic,0.2,2048,3.37954703664,3.20244140744,0.177105629206,True,0.689628732241
heldout,1e+19,mean_regret,68,logarithmic,0.2,32768,3.37954703664,3.31579897929,0.0637480573499,True,1
heldout,1e+19,mean_regret,68,logarithmic,0.8,2048,3.37954703664,3.04694199537,0.332605041279,True,0.330512537129
heldout,1e+19,mean_regret,68,logarithmic,0.8,32768,3.37954703664,3.17971378469,0.199833251956,True,0.640883804888
heldout,1e+19,mean_regret,101,exponential,0.2,2048,3.38102640119,3.20039959138,0.180626809811,True,0.540547488477
heldout,1e+19,mean_regret,101,exponential,0.2,32768,3.38102640119,3.33162475888,0.049401642314,True,0.850918756236
heldout,1e+19,mean_regret,101,exponential,0.8,2048,3.38102640119,3.0942412607,0.286785140496,True,0.347376287468
heldout,1e+19,mean_regret,101,exponential,0.8,32768,3.38102640119,3.24178896217,0.139237439028,True,0.657747555226
heldout,1e+19,mean_regret,101,power,0.2,2048,3.38102640119,3.24415625811,0.136870143087,True,0.689628732237
heldout,1e+19,mean_regret,101,power,0.2,32768,3.38102640119,3.37692156343,0.00410483776092,True,0.999999999996
heldout,1e+19,mean_regret,101,power,0.8,2048,3.38102640119,3.0942412607,0.286785140496,True,0.356209451575
heldout,1e+19,mean_regret,101,power,0.8,32768,3.38102640119,3.24178896217,0.139237439028,True,0.666580719334
heldout,1e+19,mean_regret,101,logarithmic,0.2,2048,3.38102640119,3.20239284612,0.178633555076,True,0.689628732241
heldout,1e+19,mean_regret,101,logarithmic,0.2,32768,3.38102640119,3.31574878818,0.0652776130164,True,1
heldout,1e+19,mean_regret,101,logarithmic,0.8,2048,3.38102640119,3.04689548868,0.334130912517,True,0.330512537129
heldout,1e+19,mean_regret,101,logarithmic,0.8,32768,3.38102640119,3.17966546795,0.201360933248,True,0.640883804888
heldout,1e+19,mean_regret,102,exponential,0.2,2048,3.37903755606,3.19835488663,0.180682669435,True,0.540547488477
heldout,1e+19,mean_regret,102,exponential,0.2,32768,3.37903755606,3.32914865018,0.0498889058765,True,0.850918756236
heldout,1e+19,mean_regret,102,exponential,0.8,2048,3.37903755606,3.09162870744,0.287408848623,True,0.347376287468
heldout,1e+19,mean_regret,102,exponential,0.8,32768,3.37903755606,3.23844581409,0.140591741969,True,0.657747555226
heldout,1e+19,mean_regret,102,power,0.2,2048,3.37903755606,3.2417489107,0.137288645357,True,0.689628732237
heldout,1e+19,mean_regret,102,power,0.2,32768,3.37903755606,3.37397243911,0.00506511695344,True,0.999999999996
heldout,1e+19,mean_regret,102,power,0.8,2048,3.37903755606,3.09162870744,0.287408848623,True,0.356209451575
heldout,1e+19,mean_regret,102,power,0.8,32768,3.37903755606,3.23844581409,0.140591741969,True,0.666580719334
heldout,1e+19,mean_regret,102,logarithmic,0.2,2048,3.37903755606,3.20244419191,0.176593364151,True,0.689628732241
heldout,1e+19,mean_regret,102,logarithmic,0.2,32768,3.37903755606,3.31580386184,0.0632336942243,True,1
heldout,1e+19,mean_regret,102,logarithmic,0.8,2048,3.37903755606,3.04694620812,0.33209134794,True,0.330512537129
heldout,1e+19,mean_regret,102,logarithmic,0.8,32768,3.37903755606,3.17971984906,0.199317706998,True,0.640883804888
heldout,1e+19,mean_regret,125,exponential,0.2,2048,3.37913721536,3.19842021659,0.18071699877,True,0.540547488477
heldout,1e+19,mean_regret,125,exponential,0.2,32768,3.37913721536,3.32931100589,0.0498262094703,True,0.850918756236
heldout,1e+19,mean_regret,125,exponential,0.8,2048,3.37913721536,3.0918063964,0.287330818957,True,0.347376287468
heldout,1e+19,mean_regret,125,exponential,0.8,32768,3.37913721536,3.23871028171,0.140426933646,True,0.657747555226
heldout,1e+19,mean_regret,125,power,0.2,2048,3.37913721536,3.24176884946,0.137368365896,True,0.689628732237
heldout,1e+19,mean_regret,125,power,0.2,32768,3.37913721536,3.37416644384,0.00497077151816,True,0.999999999996
heldout,1e+19,mean_regret,125,power,0.8,2048,3.37913721536,3.0918063964,0.287330818957,True,0.356209451575
heldout,1e+19,mean_regret,125,power,0.8,32768,3.37913721536,3.23871028171,0.140426933646,True,0.666580719334
heldout,1e+19,mean_regret,125,logarithmic,0.2,2048,3.37913721536,3.20230192437,0.176835290989,True,0.689628732241
heldout,1e+19,mean_regret,125,logarithmic,0.2,32768,3.37913721536,3.3155793292,0.0635578861525,True,1
heldout,1e+19,mean_regret,125,logarithmic,0.8,2048,3.37913721536,3.04670615896,0.332431056396,True,0.330512537129
heldout,1e+19,mean_regret,125,logarithmic,0.8,32768,3.37913721536,3.1793809,0.199756315353,True,0.640883804888
heldout,1e+19,mean_regret,129,exponential,0.2,2048,3.37508655944,3.19370821983,0.181378339605,True,0.540547488477
heldout,1e+19,mean_regret,129,exponential,0.2,32768,3.37508655944,3.32504249196,0.0500440674739,True,0.850918756236
heldout,1e+19,mean_regret,129,exponential,0.8,2048,3.37508655944,3.08756629281,0.287520266622,True,0.347376287468
heldout,1e+19,mean_regret,129,exponential,0.8,32768,3.37508655944,3.23453041693,0.140556142502,True,0.657747555226
heldout,1e+19,mean_regret,129,power,0.2,2048,3.37508655944,3.236518023,0.138568536435,True,0.689628732237
heldout,1e+19,mean_regret,129,power,0.2,32768,3.37508655944,3.36933990557,0.00574665386112,True,0.999999999996
heldout,1e+19,mean_regret,129,power,0.8,2048,3.37508655944,3.08756629281,0.287520266622,True,0.356209451575
heldout,1e+19,mean_regret,129,power,0.8,32768,3.37508655944,3.23453041693,0.140556142502,True,0.666580719334
heldout,1e+19,mean_regret,129,logarithmic,0.2,2048,3.37508655944,3.20240391003,0.172682649401,True,0.689628732241
heldout,1e+19,mean_regret,129,logarithmic,0.2,32768,3.37508655944,3.31576369819,0.0593228612482,True,1
heldout,1e+19,mean_regret,129,logarithmic,0.8,2048,3.37508655944,3.0468883463,0.328198213136,True,0.330512537129
heldout,1e+19,mean_regret,129,logarithmic,0.8,32768,3.37508655944,3.1796620059,0.19542455354,True,0.640883804888
heldout,1e+19,mean_regret,184,exponential,0.2,2048,3.37709031965,3.19611012034,0.180980199318,True,0.540547488477
heldout,1e+19,mean_regret,184,exponential,0.2,32768,3.37709031965,3.32746881106,0.0496215085977,True,0.850918756236
heldout,1e+19,mean_regret,184,exponential,0.8,2048,3.37709031965,3.09003905134,0.287051268318,True,0.347376287468
heldout,1e+19,mean_regret,184,exponential,0.8,32768,3.37709031965,3.23742043424,0.139669885418,True,0.657747555226
heldout,1e+19,mean_regret,184,power,0.2,2048,3.37709031965,3.23959445783,0.137495861825,True,0.689628732237
heldout,1e+19,mean_regret,184,power,0.2,32768,3.37709031965,3.3723884249,0.00470189475044,True,0.999999999996
heldout,1e+19,mean_regret,184,power,0.8,2048,3.37709031965,3.09003905134,0.287051268318,True,0.356209451575
heldout,1e+19,mean_regret,184,power,0.8,32768,3.37709031965,3.23742043424,0.139669885418,True,0.666580719334
heldout,1e+19,mean_regret,184,logarithmic,0.2,2048,3.37709031965,3.20238024429,0.174710075367,True,0.689628732241
heldout,1e+19,mean_regret,184,logarithmic,0.2,32768,3.37709031965,3.31573647724,0.061353842413,True,1
heldout,1e+19,mean_regret,184,logarithmic,0.8,2048,3.37709031965,3.04688007179,0.330210247867,True,0.330512537129
heldout,1e+19,mean_regret,184,logarithmic,0.8,32768,3.37709031965,3.17965087769,0.197439441961,True,0.640883804888
heldout,1e+19,mean_regret,199,exponential,0.2,2048,3.37634061522,3.19507070951,0.181269905713,True,0.540547488477
heldout,1e+19,mean_regret,199,exponential,0.2,32768,3.37634061522,3.32623049678,0.050110118438,True,0.850918756236
heldout,1e+19,mean_regret,199,exponential,0.8,2048,3.37634061522,3.08873842104,0.287602194184,True,0.347376287468
