budget,cap,policy,split,bootstrap_replicate,cost_model,Q0,L_ctx,N_B,D_B,Q_B,loss,cap_oracle_loss,free_oracle_loss,within_cap_regret,free_regret,feasible,cost_ratio
1e+19,1x,nominal_shared,heldout,8,logarithmic,0.8,2048,0.309808083445,1.63196758269,0.818705344162,3.37864058289,3.04695211402,3.04695211402,0.331688468866,0.331688468866,True,0.330781429181
1e+19,1x,nominal_shared,heldout,8,logarithmic,0.8,32768,0.309808083445,1.63196758269,0.818705344162,3.37864058289,3.17972173581,3.17972173581,0.198918847073,0.198918847073,True,0.641420071789
1e+19,1x,nominal_shared,heldout,12,exponential,0.2,2048,0.309808083445,1.63196758269,0.818705344162,3.37589838188,3.19481537155,3.19481537155,0.181083010328,0.181083010328,True,0.540502736107
1e+19,1x,nominal_shared,heldout,12,exponential,0.2,32768,0.309808083445,1.63196758269,0.818705344162,3.37589838188,3.32597255314,3.32597255314,0.0499258287351,0.049925828735,True,0.851141378715
1e+19,1x,nominal_shared,heldout,12,exponential,0.8,2048,0.309808083445,1.63196758269,0.818705344162,3.37589838188,3.08848424643,3.08848424643,0.287414135455,0.287414135455,True,0.347619996946
1e+19,1x,nominal_shared,heldout,12,exponential,0.8,32768,0.309808083445,1.63196758269,0.818705344162,3.37589838188,3.23547004296,3.23547004296,0.140428338915,0.140428338915,True,0.658258639554
1e+19,1x,nominal_shared,heldout,12,power,0.2,2048,0.309808083445,1.63196758269,0.818705344162,3.37589838188,3.23803099911,3.23803099911,0.137867382774,0.137867382774,True,0.689361357392
1e+19,1x,nominal_shared,heldout,12,power,0.2,32768,0.309808083445,1.63196758269,0.818705344162,3.37589838188,3.37058159711,3.37058159711,0.00531678477165,0.00531678477165,True,1
1e+19,1x,nominal_shared,heldout,12,power,0.8,2048,0.309808083445,1.63196758269,0.818705344162,3.37589838188,3.08848424643,3.08848424643,0.287414135455,0.287414135455,True,0.356439970523
1e+19,1x,nominal_shared,heldout,12,power,0.8,32768,0.309808083445,1.63196758269,0.818705344162,3.37589838188,3.23547004296,3.23547004296,0.140428338915,0.140428338915,True,0.667078613131
1e+19,1x,nominal_shared,heldout,12,logarithmic,0.2,2048,0.309808083445,1.63196758269,0.818705344162,3.37589838188,3.20240079902,3.20240079902,0.173497582865,0.173497582865,True,0.689361357391
1e+19,1x,nominal_shared,heldout,12,logarithmic,0.2,32768,0.309808083445,1.63196758269,0.818705344162,3.37589838188,3.31575901637,3.31575901637,0.0601393655087,0.0601393655087,True,1
1e+19,1x,nominal_shared,heldout,12,logarithmic,0.8,2048,0.309808083445,1.63196758269,0.818705344162,3.37589838188,3.04689185631,3.04689185631,0.329006525566,0.329006525566,True,0.330781429181
1e+19,1x,nominal_shared,heldout,12,logarithmic,0.8,32768,0.309808083445,1.63196758269,0.818705344162,3.37589838188,3.17966469195,3.17966469195,0.196233689925,0.196233689925,True,0.641420071789
1e+19,1x,nominal_shared,heldout,13,exponential,0.2,2048,0.309808083445,1.63196758269,0.818705344162,3.38284389911,3.20215116904,3.20215116904,0.180692730062,0.180692730062,True,0.540502736107
1e+19,1x,nominal_shared,heldout,13,exponential,0.2,32768,0.309808083445,1.63196758269,0.818705344162,3.38284389911,3.33316277249,3.33316277249,0.0496811266158,0.0496811266158,True,0.851141378715
1e+19,1x,nominal_shared,heldout,13,exponential,0.8,2048,0.309808083445,1.63196758269,0.818705344162,3.38284389911,3.09567192621,3.09567192621,0.287171972894,0.287171972894,True,0.347619996946
1e+19,1x,nominal_shared,heldout,13,exponential,0.8,32768,0.309808083445,1.63196758269,0.818705344162,3.38284389911,3.24276292458,3.24276292458,0.14008097453,0.14008097453,True,0.658258639554
1e+19,1x,nominal_shared,heldout,13,power,0.2,2048,0.309808083445,1.63196758269,0.818705344162,3.38284389911,3.24522428367,3.24522428367,0.137619615437,0.137619615437,True,0.689361357392
1e+19,1x,nominal_shared,heldout,13,power,0.2,32768,0.309808083445,1.63196758269,0.818705344162,3.38284389911,3.37799023577,3.37799023577,0.00485366333295,0.00485366333303,True,1
1e+19,1x,nominal_shared,heldout,13,power,0.8,2048,0.309808083445,1.63196758269,0.818705344162,3.38284389911,3.09567192621,3.09567192621,0.287171972894,0.287171972894,True,0.356439970523
1e+19,1x,nominal_shared,heldout,13,power,0.8,32768,0.309808083445,1.63196758269,0.818705344162,3.38284389911,3.24276292458,3.24276292458,0.14008097453,0.14008097453,True,0.667078613131
1e+19,1x,nominal_shared,heldout,13,logarithmic,0.2,2048,0.309808083445,1.63196758269,0.818705344162,3.38284389911,3.20245561514,3.20245561514,0.180388283971,0.180388283971,True,0.689361357391
1e+19,1x,nominal_shared,heldout,13,logarithmic,0.2,32768,0.309808083445,1.63196758269,0.818705344162,3.38284389911,3.3158232633,3.3158232633,0.0670206358057,0.0670206358057,True,1
1e+19,1x,nominal_shared,heldout,13,logarithmic,0.8,2048,0.309808083445,1.63196758269,0.818705344162,3.38284389911,3.04695371865,3.04695371865,0.335890180454,0.335890180454,True,0.330781429181
1e+19,1x,nominal_shared,heldout,13,logarithmic,0.8,32768,0.309808083445,1.63196758269,0.818705344162,3.38284389911,3.17974051525,3.17974051525,0.203103383858,0.203103383858,True,0.641420071789
1e+19,1x,nominal_shared,heldout,29,exponential,0.2,2048,0.309808083445,1.63196758269,0.818705344162,3.37496379023,3.19357774196,3.19357774196,0.181386048271,0.181386048271,True,0.540502736107
1e+19,1x,nominal_shared,heldout,29,exponential,0.2,32768,0.309808083445,1.63196758269,0.818705344162,3.37496379023,3.32499181873,3.32499181873,0.0499719715058,0.0499719715058,True,0.851141378715
1e+19,1x,nominal_shared,heldout,29,exponential,0.8,2048,0.309808083445,1.63196758269,0.818705344162,3.37496379023,3.08752823131,3.08752823131,0.287435558927,0.287435558927,True,0.347619996946
1e+19,1x,nominal_shared,heldout,29,exponential,0.8,32768,0.309808083445,1.63196758269,0.818705344162,3.37496379023,3.23459961935,3.23459961935,0.140364170887,0.140364170887,True,0.658258639554
1e+19,1x,nominal_shared,heldout,29,power,0.2,2048,0.309808083445,1.63196758269,0.818705344162,3.37496379023,3.23644522971,3.23644522971,0.138518560521,0.138518560521,True,0.689361357392
1e+19,1x,nominal_shared,heldout,29,power,0.2,32768,0.309808083445,1.63196758269,0.818705344162,3.37496379023,3.36933882633,3.36933882633,0.00562496389988,0.00562496389988,True,1
1e+19,1x,nominal_shared,heldout,29,power,0.8,2048,0.309808083445,1.63196758269,0.818705344162,3.37496379023,3.08752823131,3.08752823131,0.287435558927,0.287435558927,True,0.356439970523
1e+19,1x,nominal_shared,heldout,29,power,0.8,32768,0.309808083445,1.63196758269,0.818705344162,3.37496379023,3.23459961935,3.23459961935,0.140364170887,0.140364170887,True,0.667078613131
1e+19,1x,nominal_shared,heldout,29,logarithmic,0.2,2048,0.309808083445,1.63196758269,0.818705344162,3.37496379023,3.20246762649,3.20246762649,0.17249616374,0.17249616374,True,0.689361357391
1e+19,1x,nominal_shared,heldout,29,logarithmic,0.2,32768,0.309808083445,1.63196758269,0.818705344162,3.37496379023,3.31583194772,3.31583194772,0.0591318425146,0.0591318425146,True,1
1e+19,1x,nominal_shared,heldout,29,logarithmic,0.8,2048,0.309808083445,1.63196758269,0.818705344162,3.37496379023,3.04696966208,3.04696966208,0.327994128157,0.327994128157,True,0.330781429181
1e+19,1x,nominal_shared,heldout,29,logarithmic,0.8,32768,0.309808083445,1.63196758269,0.818705344162,3.37496379023,3.17975393368,3.17975393368,0.195209856551,0.195209856551,True,0.641420071789
1e+19,1x,nominal_shared,heldout,53,exponential,0.2,2048,0.309808083445,1.63196758269,0.818705344162,3.37622677001,3.19506601303,3.19506601303,0.181160756984,0.181160756984,True,0.540502736107
1e+19,1x,nominal_shared,heldout,53,exponential,0.2,32768,0.309808083445,1.63196758269,0.818705344162,3.37622677001,3.32613601871,3.32613601871,0.0500907512963,0.0500907512963,True,0.851141378715
1e+19,1x,nominal_shared,heldout,53,exponential,0.8,2048,0.309808083445,1.63196758269,0.818705344162,3.37622677001,3.08862708197,3.08862708197,0.287599688043,0.287599688043,True,0.347619996946
1e+19,1x,nominal_shared,heldout,53,exponential,0.8,32768,0.309808083445,1.63196758269,0.818705344162,3.37622677001,3.23541127339,3.23541127339,0.140815496616,0.140815496616,True,0.658258639554
1e+19,1x,nominal_shared,heldout,53,power,0.2,2048,0.309808083445,1.63196758269,0.818705344162,3.37622677001,3.23798533468,3.23798533468,0.138241435331,0.138241435331,True,0.689361357392
1e+19,1x,nominal_shared,heldout,53,power,0.2,32768,0.309808083445,1.63196758269,0.818705344162,3.37622677001,3.37051146371,3.37051146371,0.00571530629936,0.00571530629936,True,1
1e+19,1x,nominal_shared,heldout,53,power,0.8,2048,0.309808083445,1.63196758269,0.818705344162,3.37622677001,3.08862708197,3.08862708197,0.287599688043,0.287599688043,True,0.356439970523
1e+19,1x,nominal_shared,heldout,53,power,0.8,32768,0.309808083445,1.63196758269,0.818705344162,3.37622677001,3.23541127339,3.23541127339,0.140815496616,0.140815496616,True,0.667078613131
1e+19,1x,nominal_shared,heldout,53,logarithmic,0.2,2048,0.309808083445,1.63196758269,0.818705344162,3.37622677001,3.20246482158,3.20246482158,0.173761948434,0.173761948434,True,0.689361357391
1e+19,1x,nominal_shared,heldout,53,logarithmic,0.2,32768,0.309808083445,1.63196758269,0.818705344162,3.37622677001,3.31582383454,3.31582383454,0.0604029354708,0.0604029354708,True,1
1e+19,1x,nominal_shared,heldout,53,logarithmic,0.8,2048,0.309808083445,1.63196758269,0.818705344162,3.37622677001,3.04695430728,3.04695430728,0.329272462728,0.329272462728,True,0.330781429181
1e+19,1x,nominal_shared,heldout,53,logarithmic,0.8,32768,0.309808083445,1.63196758269,0.818705344162,3.37622677001,3.17972924819,3.17972924819,0.196497521821,0.196497521821,True,0.641420071789
1e+19,1x,nominal_shared,heldout,68,exponential,0.2,2048,0.309808083445,1.63196758269,0.818705344162,3.37954188225,3.19865524952,3.19865524952,0.180886632731,0.180886632731,True,0.540502736107
1e+19,1x,nominal_shared,heldout,68,exponential,0.2,32768,0.309808083445,1.63196758269,0.818705344162,3.37954188225,3.33017350562,3.33017350562,0.0493683766253,0.0493683766252,True,0.851141378715
1e+19,1x,nominal_shared,heldout,68,exponential,0.8,2048,0.309808083445,1.63196758269,0.818705344162,3.37954188225,3.09280415783,3.09280415783,0.286737724414,0.286737724414,True,0.347619996946
