field,domain,n,spearman_raw_vs_Q,spearman_raw_vs_Q_without_self
dsir_math,github,10000,-0.2355930502959305,-0.25489778424497783
dsir_math,stackexchange,10000,-0.17773331629333317,-0.18566697765266976
dsir_math,wikipedia,10000,-0.6026933148869331,-0.6085023031090231
qurater,arxiv,1419,0.2971432029949286,0.19686125653514977
qurater,book,171,0.7298653610771114,0.6399860801113592
qurater,c4,10000,0.8076419259249296,0.7509214271046835
qurater,commoncrawl,9640,0.6985751291868184,0.6111074879659778
qurater,github,10000,0.6158913141312754,0.5620769258899391
qurater,stackexchange,10000,0.6855945088025518,0.6173336050746487
qurater,wikipedia,10000,0.7823505380764372,0.7415946643160678
ad_en,arxiv,1419,-0.18762263204379717,-0.20555128981830137
ad_en,book,171,0.24085708474520234,0.1805717138290801
ad_en,c4,10000,0.3594629508295274,0.2038961982419575
ad_en,commoncrawl,9640,0.16531964983801983,0.07271783722016557
ad_en,github,10000,0.08978384553467389,0.07131251524703454
ad_en,stackexchange,10000,0.17991144006861798,0.17148370059747184
ad_en,wikipedia,10000,0.08047995067692358,0.06188402965824038
rps_doc_word_count,arxiv,1419,-0.594556608322547,-0.4665087728277861
rps_doc_word_count,book,171,0.04180046559627523,0.06694746442028464
rps_doc_word_count,c4,10000,0.3193870311655362,0.31582867433521755
rps_doc_word_count,commoncrawl,9640,0.15901495723370218,0.23341568172374966
rps_doc_word_count,github,10000,0.3835817766207999,0.30984972739711053
rps_doc_word_count,stackexchange,10000,0.37928932078239275,0.3786243270026145
rps_doc_word_count,wikipedia,10000,0.6550122357321766,0.6347238334296531
rps_doc_num_sentences,arxiv,1419,-0.5797312445976167,-0.4311914802162637
rps_doc_num_sentences,book,171,-0.09250497096626403,-0.0587756003259601
rps_doc_num_sentences,c4,10000,0.1946128452631586,0.16826933101777053
rps_doc_num_sentences,commoncrawl,9640,0.12049926087184533,0.17277367539464414
rps_doc_num_sentences,github,10000,0.29631406585383196,0.28918752993918256
rps_doc_num_sentences,stackexchange,10000,0.17349198659004272,0.18117716434985762
rps_doc_num_sentences,wikipedia,10000,0.642196754570752,0.6059090302215406
rps_doc_unigram_entropy,arxiv,1419,-0.44013033073394514,-0.4797010518158345
rps_doc_unigram_entropy,book,171,0.21952864377084985,0.20943192454460363
rps_doc_unigram_entropy,c4,10000,0.36391732542326255,0.3152282206383828
rps_doc_unigram_entropy,commoncrawl,9640,0.17189192644477705,0.12231752103990966
rps_doc_unigram_entropy,github,10000,0.4556976082707192,0.3771623660569781
rps_doc_unigram_entropy,stackexchange,10000,0.39239673242164974,0.3480821582439897
rps_doc_unigram_entropy,wikipedia,10000,0.6472172725395167,0.5943614457860927
rps_doc_frac_unique_words,arxiv,1419,0.49946382606211476,0.4549755138543083
rps_doc_frac_unique_words,book,171,0.11084551323589412,0.09395924832601339
rps_doc_frac_unique_words,c4,10000,-0.15901609821481258,-0.22209273092518156
rps_doc_frac_unique_words,commoncrawl,9640,-0.06957270001238432,-0.1268261603149835
rps_doc_frac_unique_words,github,10000,-0.21663412323977102,-0.3118440536283208
rps_doc_frac_unique_words,stackexchange,10000,-0.25724287965836945,-0.3157332945492335
rps_doc_frac_unique_words,wikipedia,10000,-0.47317959904712176,-0.5210831595096141
rps_doc_frac_no_alph_words,arxiv,1419,-0.6031947749438511,-0.5517435172196357
rps_doc_frac_no_alph_words,book,171,-0.38538171694626444,-0.3704514363885089
rps_doc_frac_no_alph_words,c4,10000,-0.2547050328132467,-0.24032976840947412
rps_doc_frac_no_alph_words,commoncrawl,9640,-0.3847876956824516,-0.37012001170307185
rps_doc_frac_no_alph_words,github,10000,-0.0023761442707074037,0.05800183106525267
rps_doc_frac_no_alph_words,stackexchange,10000,-0.19792309952975906,-0.12929137062365842
rps_doc_frac_no_alph_words,wikipedia,10000,-0.35111166852493764,-0.2549564094740597
rps_doc_frac_chars_top_2gram,arxiv,1419,0.09259667035994547,0.1805597144180214
rps_doc_frac_chars_top_2gram,book,171,0.2186046511627907,0.25879712962296303
rps_doc_frac_chars_top_2gram,c4,10000,-0.2938953148137242,-0.19060730141378582
rps_doc_frac_chars_top_2gram,commoncrawl,9640,-0.30390978025693377,-0.21409750791514903
rps_doc_frac_chars_top_2gram,github,10000,-0.12730914318990158,0.040729377534623815
rps_doc_frac_chars_top_2gram,stackexchange,10000,-0.34693254994795125,-0.23357932271559478
rps_doc_frac_chars_top_2gram,wikipedia,10000,-0.4600572963716579,-0.34844903355340034
rps_doc_frac_chars_top_3gram,arxiv,1419,-0.014946151383148996,0.08229492850796112
rps_doc_frac_chars_top_3gram,book,171,-5.2799577603379175e-05,0.03493172054623563
rps_doc_frac_chars_top_3gram,c4,10000,-0.1824182347292834,-0.049032237215995984
rps_doc_frac_chars_top_3gram,commoncrawl,9640,-0.30755164648384986,-0.2116447091375233
rps_doc_frac_chars_top_3gram,github,10000,-0.05362079124134208,0.1288434534773376
rps_doc_frac_chars_top_3gram,stackexchange,10000,-0.3231439896575945,-0.1810026359041766
rps_doc_frac_chars_top_3gram,wikipedia,10000,-0.18280686351413153,-0.04128676438293033
rps_lines_uppercase_letter_fraction,arxiv,1419,0.37241993155328645,0.39413609553863277
rps_lines_uppercase_letter_fraction,book,171,0.18339933280533757,0.33645810833513334
rps_lines_uppercase_letter_fraction,c4,10000,-0.05188018608037707,-0.17741383726981277
rps_lines_uppercase_letter_fraction,commoncrawl,9640,-0.3475192642125766,-0.3830975459478909
rps_lines_uppercase_letter_fraction,github,10000,0.09111924802180231,0.12040539456373385
rps_lines_uppercase_letter_fraction,stackexchange,10000,0.030470114944701154,0.11130580252505802
rps_lines_uppercase_letter_fraction,wikipedia,10000,0.09066789666039103,0.17445378104152842
rps_lines_ending_with_terminal_punctution_mark,arxiv,1419,0.411382975245568,0.13275894462882498
rps_lines_ending_with_terminal_punctution_mark,book,171,-0.10057839537283703,-0.3316317469460245
rps_lines_ending_with_terminal_punctution_mark,c4,10000,,
rps_lines_ending_with_terminal_punctution_mark,commoncrawl,9640,0.46646397315721433,0.23064045782227582
rps_lines_ending_with_terminal_punctution_mark,github,10000,0.20114898301946674,0.08835332394412106
rps_lines_ending_with_terminal_punctution_mark,stackexchange,10000,0.22914970688470046,-0.04572655808125365
rps_lines_ending_with_terminal_punctution_mark,wikipedia,10000,0.3524587354299534,0.21339629421550194
rps_lines_numerical_chars_fraction,arxiv,1419,-0.1908066354513859,-0.10519738330566958
rps_lines_numerical_chars_fraction,book,171,0.14473804209566324,0.16573787409700722
rps_lines_numerical_chars_fraction,c4,10000,0.12452706332574728,-0.0023435151717320353
rps_lines_numerical_chars_fraction,commoncrawl,9640,-0.2391631769134365,-0.23880275861982597
rps_lines_numerical_chars_fraction,github,10000,0.12651177611302514,-0.018290146401899337
rps_lines_numerical_chars_fraction,stackexchange,10000,0.0160836384674814,-0.04356961449570641
rps_lines_numerical_chars_fraction,wikipedia,10000,0.05184038410629566,0.04427383711430562
rps_doc_mean_word_length,arxiv,1419,-0.13213622212225634,-0.13610839018851761
rps_doc_mean_word_length,book,171,0.4826049391604867,0.3591643266853865
rps_doc_mean_word_length,c4,10000,0.29615471351614164,0.2167732385635524
rps_doc_mean_word_length,commoncrawl,9640,0.18740576066337528,0.13851216750809783
rps_doc_mean_word_length,github,10000,-0.34246051047696974,-0.2341082258515885
rps_doc_mean_word_length,stackexchange,10000,-0.15124143717802405,-0.22937105518570008
rps_doc_mean_word_length,wikipedia,10000,-0.26892316678923284,-0.27218130602869023
