lambda_p,budget,strategy,support_class,N_B,D_B,Q_B,loss,improvement,p_optimum_tied
0.5,1e+24,P2_continuous_support,in-support,39.56184334,3656.99670841,1,1.63167099138,0.284325404991,False
0.5,1e+24,P3_loose_simplex,extrapolative,39.56184334,3656.99670841,1,1.31846376644,0.597532629931,False
0.75,1e+19,P0_reference,in-support,0.311384923873,3.95550272052,0.724121163537,3.18042337194,-0,False
0.75,1e+19,P1_observed_support,in-support,0.311384923873,3.95550272052,0.724121163537,2.80374052371,0.376682848229,False
0.75,1e+19,P2_continuous_support,in-support,0.311384923873,3.95550272052,0.724121163537,2.75393526445,0.426488107487,False
0.75,1e+19,P3_loose_simplex,extrapolative,0.311384923873,3.95550272052,0.724121163537,2.28412442704,0.896298944896,False
0.75,1e+22,P0_reference,in-support,5.43315455833,245.591189004,1,2.15470427308,-0,False
0.75,1e+22,P1_observed_support,in-support,5.43315455833,245.591189004,1,1.77802142485,0.376682848229,False
0.75,1e+22,P2_continuous_support,in-support,5.43315455833,245.591189004,1,1.72821616559,0.426488107487,False
0.75,1e+22,P3_loose_simplex,extrapolative,5.43315455833,245.591189004,1,1.25840532818,0.896298944896,False
0.75,1e+24,P0_reference,in-support,39.56184334,3656.99670841,1,1.91599639637,-0,False
0.75,1e+24,P1_observed_support,in-support,39.56184334,3656.99670841,1,1.53931354814,0.376682848229,False
0.75,1e+24,P2_continuous_support,in-support,39.56184334,3656.99670841,1,1.48950828888,0.426488107487,False
0.75,1e+24,P3_loose_simplex,extrapolative,39.56184334,3656.99670841,1,1.01969745147,0.896298944896,False
1,1e+19,P0_reference,in-support,0.311384923873,3.95550272052,0.724121163537,3.18042337194,-0,False
1,1e+19,P1_observed_support,in-support,0.311384923873,3.95550272052,0.724121163537,2.6781795743,0.502243797638,False
1,1e+19,P2_continuous_support,in-support,0.311384923873,3.95550272052,0.724121163537,2.61177256196,0.568650809983,False
1,1e+19,P3_loose_simplex,extrapolative,0.311384923873,3.95550272052,0.724121163537,1.98535811208,1.19506525986,False
1,1e+22,P0_reference,in-support,5.43315455833,245.591189004,1,2.15470427308,-0,False
1,1e+22,P1_observed_support,in-support,5.43315455833,245.591189004,1,1.65246047544,0.502243797638,False
1,1e+22,P2_continuous_support,in-support,5.43315455833,245.591189004,1,1.5860534631,0.568650809983,False
1,1e+22,P3_loose_simplex,extrapolative,5.43315455833,245.591189004,1,0.959639013218,1.19506525986,False
1,1e+24,P0_reference,in-support,39.56184334,3656.99670841,1,1.91599639637,-0,False
1,1e+24,P1_observed_support,in-support,39.56184334,3656.99670841,1,1.41375259873,0.502243797638,False
1,1e+24,P2_continuous_support,in-support,39.56184334,3656.99670841,1,1.34734558639,0.568650809983,False
1,1e+24,P3_loose_simplex,extrapolative,39.56184334,3656.99670841,1,0.720931136508,1.19506525986,False
1.25,1e+19,P0_reference,in-support,0.311384923873,3.95550272052,0.724121163537,3.18042337194,-0,False
1.25,1e+19,P1_observed_support,in-support,0.311384923873,3.95550272052,0.724121163537,2.55261862489,0.627804747048,False
1.25,1e+19,P2_continuous_support,in-support,0.311384923873,3.95550272052,0.724121163537,2.46960985946,0.710813512478,False
1.25,1e+19,P3_loose_simplex,extrapolative,0.311384923873,3.95550272052,0.724121163537,1.68659179711,1.49383157483,False
1.25,1e+22,P0_reference,in-support,5.43315455833,245.591189004,1,2.15470427308,-0,False
1.25,1e+22,P1_observed_support,in-support,5.43315455833,245.591189004,1,1.52689952603,0.627804747048,False
1.25,1e+22,P2_continuous_support,in-support,5.43315455833,245.591189004,1,1.4438907606,0.710813512478,False
1.25,1e+22,P3_loose_simplex,extrapolative,5.43315455833,245.591189004,1,0.660872698253,1.49383157483,False
1.25,1e+24,P0_reference,in-support,39.56184334,3656.99670841,1,1.91599639637,-0,False
1.25,1e+24,P1_observed_support,in-support,39.56184334,3656.99670841,1,1.28819164932,0.627804747048,False
1.25,1e+24,P2_continuous_support,in-support,39.56184334,3656.99670841,1,1.20518288389,0.710813512478,False
1.25,1e+24,P3_loose_simplex,extrapolative,39.56184334,3656.99670841,1,0.422164821543,1.49383157483,False
1.5,1e+19,P0_reference,in-support,0.311384923873,3.95550272052,0.724121163537,3.18042337194,-0,False
1.5,1e+19,P1_observed_support,in-support,0.311384923873,3.95550272052,0.724121163537,2.42705767548,0.753365696457,False
1.5,1e+19,P2_continuous_support,in-support,0.311384923873,3.95550272052,0.724121163537,2.32744715697,0.852976214974,False
1.5,1e+19,P3_loose_simplex,extrapolative,0.311384923873,3.95550272052,0.724121163537,1.38782548215,1.79259788979,False
1.5,1e+22,P0_reference,in-support,5.43315455833,245.591189004,1,2.15470427308,-0,False
1.5,1e+22,P1_observed_support,in-support,5.43315455833,245.591189004,1,1.40133857662,0.753365696457,False
1.5,1e+22,P2_continuous_support,in-support,5.43315455833,245.591189004,1,1.30172805811,0.852976214974,False
1.5,1e+22,P3_loose_simplex,extrapolative,5.43315455833,245.591189004,1,0.362106383287,1.79259788979,False
1.5,1e+24,P0_reference,in-support,39.56184334,3656.99670841,1,1.91599639637,-0,False
1.5,1e+24,P1_observed_support,in-support,39.56184334,3656.99670841,1,1.16263069991,0.753365696457,False
1.5,1e+24,P2_continuous_support,in-support,39.56184334,3656.99670841,1,1.0630201814,0.852976214974,False
1.5,1e+24,P3_loose_simplex,extrapolative,39.56184334,3656.99670841,1,0.123398506577,1.79259788979,False
