source,cost_model,budget,replicate,r_N,r_D,r_Q,Q_state,KKT_rel_error,Q_complementarity_ok,budget_ratio
joint_bootstrap,exponential,1e+19,131,2.35819123942e-20,2.35819117602e-20,2.35819115026e-20,interior,3.78088420167e-08,True,1
joint_bootstrap,exponential,1e+20,131,1.76158997754e-21,1.76158971966e-21,1.7615895574e-21,interior,2.38501754631e-07,True,1
joint_bootstrap,exponential,1e+22,131,7.43981349093e-24,7.43981335618e-24,3.29263481553e-23,upper,1.81117457527e-08,True,1
joint_bootstrap,exponential,1e+24,131,3.49363546769e-26,3.49363558737e-26,1.57090585035e-24,upper,3.42577038779e-08,True,1
joint_bootstrap,exponential,1e+19,132,2.35138856124e-20,2.35138874261e-20,2.35138861926e-20,interior,7.71341005734e-08,True,1
joint_bootstrap,exponential,1e+20,132,1.76285917442e-21,1.76285924453e-21,1.76285938809e-21,interior,1.21206697161e-07,True,1
joint_bootstrap,exponential,1e+22,132,7.44073971194e-24,7.44073957708e-24,3.5970355232e-23,upper,1.81248078463e-08,True,1
joint_bootstrap,exponential,1e+24,132,3.49448630861e-26,3.49448606776e-26,1.72774210077e-24,upper,6.89227570918e-08,True,1
joint_bootstrap,exponential,1e+19,133,2.36563647072e-20,2.36563661277e-20,2.36563682766e-20,interior,1.50885821881e-07,True,1
joint_bootstrap,exponential,1e+20,133,1.84768268465e-21,1.84768272519e-21,3.5016690599e-21,upper,2.19399681445e-08,True,1
joint_bootstrap,exponential,1e+22,133,7.43905210466e-24,7.43905196956e-24,1.04345002666e-22,upper,1.81608458852e-08,True,1
joint_bootstrap,exponential,1e+24,133,3.49302606312e-26,3.49302620453e-26,5.1448678847e-24,upper,4.04847263531e-08,True,1
joint_bootstrap,exponential,1e+19,134,2.41482087942e-20,2.41482141069e-20,2.41482159686e-20,interior,2.97098836115e-07,True,1
joint_bootstrap,exponential,1e+20,134,1.84764165882e-21,1.84764168391e-21,2.45871795485e-21,upper,1.35808048066e-08,True,1
joint_bootstrap,exponential,1e+22,134,7.43933077088e-24,7.43933037999e-24,6.93300567939e-23,upper,5.25437558023e-08,True,1
joint_bootstrap,exponential,1e+24,134,3.49330710169e-26,3.49330686113e-26,3.20367757389e-24,upper,6.88630516179e-08,True,1
joint_bootstrap,exponential,1e+19,135,2.36520983622e-20,2.3652097725e-20,2.36520994809e-20,interior,7.42374257571e-08,True,1
joint_bootstrap,exponential,1e+20,135,1.76151326663e-21,1.7615131469e-21,1.76151327241e-21,interior,7.12496073952e-08,True,1
joint_bootstrap,exponential,1e+22,135,7.43966586366e-24,7.43966645196e-24,2.73536672601e-23,upper,7.90760538551e-08,True,1
joint_bootstrap,exponential,1e+24,135,3.49381279269e-26,3.49381267249e-26,1.32080775569e-24,upper,3.44040151495e-08,True,1
joint_bootstrap,exponential,1e+19,136,2.35938056885e-20,2.35938058127e-20,2.35938111357e-20,interior,2.30871742741e-07,True,1
joint_bootstrap,exponential,1e+20,136,1.79060219386e-21,1.79060188814e-21,1.79060203202e-21,interior,1.70735475442e-07,True,1
joint_bootstrap,exponential,1e+22,136,7.43897479837e-24,7.43897480784e-24,5.69024684519e-23,upper,1.27364489777e-09,True,1
joint_bootstrap,exponential,1e+24,136,3.49332794007e-26,3.49332785444e-26,2.76791301029e-24,upper,2.45128104583e-08,True,1
joint_bootstrap,exponential,1e+19,137,2.35385422861e-20,2.35385454966e-20,2.35385487314e-20,interior,2.73818446587e-07,True,1
joint_bootstrap,exponential,1e+20,137,1.78609156946e-21,1.78609116416e-21,1.78609111542e-21,interior,2.54206429426e-07,True,1
joint_bootstrap,exponential,1e+22,137,7.43900359411e-24,7.43900361532e-24,4.6742559937e-23,upper,2.85184900506e-09,True,1
joint_bootstrap,exponential,1e+24,137,3.49327911298e-26,3.49327911212e-26,2.34344619993e-24,upper,2.47951637196e-10,True,1
joint_bootstrap,exponential,1e+19,138,2.35806630072e-20,2.35806639658e-20,2.35806657468e-20,interior,1.16180920557e-07,True,1
joint_bootstrap,exponential,1e+20,138,1.78204390096e-21,1.78204399679e-21,1.78204414787e-21,interior,1.38556467477e-07,True,1
joint_bootstrap,exponential,1e+22,138,7.43898940268e-24,7.43898897492e-24,4.76617579776e-23,upper,5.75028975377e-08,True,1
joint_bootstrap,exponential,1e+24,138,3.49290884149e-26,3.49290872101e-26,2.32809006788e-24,upper,3.44921991269e-08,True,1
joint_bootstrap,exponential,1e+19,139,2.35583240328e-20,2.35583242398e-20,2.3558325586e-20,interior,6.59296899231e-08,True,1
joint_bootstrap,exponential,1e+20,139,1.79515331156e-21,1.79515282065e-21,1.79515228394e-21,interior,5.72443699958e-07,True,1
joint_bootstrap,exponential,1e+22,139,7.43994988695e-24,7.43994949644e-24,5.64875201312e-23,upper,5.24874147902e-08,True,1
joint_bootstrap,exponential,1e+24,139,3.49379429314e-26,3.49379405223e-26,2.80865712745e-24,upper,6.89549208739e-08,True,1
joint_bootstrap,exponential,1e+19,140,2.36523075535e-20,2.36523097996e-20,2.36523111811e-20,interior,1.53371648749e-07,True,1
joint_bootstrap,exponential,1e+20,140,1.84755820246e-21,1.84755812137e-21,2.71130250076e-21,upper,4.38910598986e-08,True,1
joint_bootstrap,exponential,1e+22,140,7.43912285074e-24,7.43912330904e-24,7.96627716582e-23,upper,6.16075051593e-08,True,1
joint_bootstrap,exponential,1e+24,140,3.49343163242e-26,3.49343175239e-26,3.86362867827e-24,upper,3.43424609719e-08,True,1
