dataset,model,validation_domain,n,rmse,bias,spearman
test_60m,lowrank_ilr_quadratic,wikipedia_en,256,1.3964835221914225,1.3848750654080866,0.951153009842069
test_60m,lowrank_ilr_quadratic,dm_mathematics,256,1.5572465184611368,1.3246364567089657,0.8966847390707254
test_60m,lowrank_ilr_quadratic,github,256,2.556309214117158,2.522556367619244,0.936880579079881
test_60m,lowrank_ilr_quadratic,stackexchange,256,1.7070566616026372,1.685504831841043,0.9395535305561912
test_60m,lowrank_ilr_quadratic,gutenberg_pg_19,256,1.0093925905732888,0.9969441958446112,0.9407537479972532
test_60m,lowrank_ilr_quadratic,pile_cc,256,1.0983739988782475,1.0893246178765064,0.9078185797665367
test_60m,lowrank_ilr_quadratic,ubuntu_irc,256,2.0587911546248416,2.0119081834732953,0.8633683337148086
test_60m,lowrank_ilr_quadratic,hackernews,256,1.0198255258789255,0.9988305532507967,0.7485587376974134
test_60m,lowrank_ilr_quadratic,pubmed_abstracts,256,1.3929236787762245,1.3764149418270637,0.9428866731517508
test_60m,lowrank_ilr_quadratic,uspto_backgrounds,256,1.4098026455228048,1.4000720052216709,0.9459329938200959
test_1B,v2,arxiv,64,2.164819269078688,2.1500142513615925,0.7660714285714285
test_1B,v2,freelaw,64,2.6475923030382296,2.6404497047296385,0.9195970695970695
test_1B,v2,pubmed_central,64,2.3618666377801736,2.354481870532074,0.7862637362637362
test_1B,v2,wikipedia_en,64,2.8901516980738773,2.8871663253240527,0.955448717948718
test_1B,v2,dm_mathematics,64,2.3106728350407946,1.8942498060343815,0.9301739926739926
test_1B,v2,github,64,3.278835847870225,3.2636801311039636,0.8749084249084248
test_1B,v2,stackexchange,64,2.772809561605558,2.762234346632223,0.9050824175824175
test_1B,v2,gutenberg_pg_19,64,2.434462716350894,2.4321842247355656,0.9055860805860804
test_1B,v2,pile_cc,64,2.4563641111658323,2.4553745674186462,0.8110805860805859
test_1B,v2,ubuntu_irc,64,3.955854321675384,3.9098375874036364,0.8739010989010989
test_1B,v2,hackernews,64,2.1514518233156643,2.1493868581725293,0.8338369963369963
test_1B,v2,pubmed_abstracts,64,2.63635823680473,2.632807507522064,0.8816391941391939
test_1B,v2,uspto_backgrounds,64,2.5147529372265707,2.5096195542546225,0.9530677655677654
test_1B,additive_clr_spline,arxiv,64,2.1824403930611114,2.1607050481769177,0.7899725274725273
test_1B,additive_clr_spline,freelaw,64,2.6748245060702396,2.6653036730176165,0.9379578754578753
test_1B,additive_clr_spline,pubmed_central,64,2.4584652769266513,2.4532773031854345,0.8042124542124541
test_1B,additive_clr_spline,wikipedia_en,64,2.8888732806385184,2.8838863470013854,0.9669871794871795
test_1B,additive_clr_spline,dm_mathematics,64,2.4387178395538482,2.05783824792688,0.9236721611721611
test_1B,additive_clr_spline,github,64,3.399046061825347,3.3821141454579724,0.8601190476190474
test_1B,additive_clr_spline,stackexchange,64,2.8237502164597963,2.811111680192746,0.9240384615384614
test_1B,additive_clr_spline,gutenberg_pg_19,64,2.463827878458494,2.4608700417861815,0.8517857142857141
test_1B,additive_clr_spline,pile_cc,64,2.4417107733865167,2.4403861437698873,0.8604395604395604
test_1B,additive_clr_spline,ubuntu_irc,64,3.877322889861621,3.8397205970021804,0.8720238095238094
test_1B,additive_clr_spline,hackernews,64,2.142238357506965,2.1397689436632525,0.7760073260073259
test_1B,additive_clr_spline,pubmed_abstracts,64,2.6992035369761465,2.6944689810580633,0.864606227106227
test_1B,additive_clr_spline,uspto_backgrounds,64,2.563281840564639,2.557622360166559,0.9676739926739927
test_1B,lowrank_ilr_quadratic,arxiv,64,2.32544159878858,2.3123438374154346,0.721153846153846
test_1B,lowrank_ilr_quadratic,freelaw,64,2.833630405374327,2.8276586535608477,0.8664377289377289
test_1B,lowrank_ilr_quadratic,pubmed_central,64,2.5361809394184522,2.528545723161476,0.6819597069597069
test_1B,lowrank_ilr_quadratic,wikipedia_en,64,3.0001651255743242,2.997648267838942,0.9089743589743589
test_1B,lowrank_ilr_quadratic,dm_mathematics,64,1.96288734663096,1.637503516584422,0.9152472527472526
test_1B,lowrank_ilr_quadratic,github,64,3.5135061011687547,3.4999708912901086,0.7522893772893773
test_1B,lowrank_ilr_quadratic,stackexchange,64,2.9367839048238937,2.9276147451898673,0.8394688644688645
test_1B,lowrank_ilr_quadratic,gutenberg_pg_19,64,2.4719490517312233,2.4677463941757027,0.7818223443223443
test_1B,lowrank_ilr_quadratic,pile_cc,64,2.5556750805491646,2.554539148124075,0.7382783882783882
test_1B,lowrank_ilr_quadratic,ubuntu_irc,64,4.0210234452782885,3.998723138642018,0.858653846153846
test_1B,lowrank_ilr_quadratic,hackernews,64,2.0941867754913703,2.0882191260061846,0.6701465201465201
