outer_fold,model,spec,inner_rmse,selected
2,lowrank_ilr_quadratic,"{""alpha"": 100.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 8}",0.6107026768793501,False
2,lowrank_ilr_quadratic,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 12}",0.37562189001317786,False
2,lowrank_ilr_quadratic,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 12}",0.3714954909097571,False
2,lowrank_ilr_quadratic,"{""alpha"": 100.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 12}",0.435766225505602,False
2,lowrank_ilr_quadratic,"{""alpha"": 1.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 4}",0.6913461494788377,False
2,lowrank_ilr_quadratic,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 4}",0.6909928455586002,False
2,lowrank_ilr_quadratic,"{""alpha"": 100.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 4}",0.6986688789321658,False
2,lowrank_ilr_quadratic,"{""alpha"": 1.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 8}",0.6057080020110625,False
2,lowrank_ilr_quadratic,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 8}",0.6026059019270787,False
2,lowrank_ilr_quadratic,"{""alpha"": 100.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 8}",0.6108368269803954,False
2,lowrank_ilr_quadratic,"{""alpha"": 1.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 12}",0.3691032990736802,False
2,lowrank_ilr_quadratic,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 12}",0.36665763347306846,True
2,lowrank_ilr_quadratic,"{""alpha"": 100.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 12}",0.43503665051125945,False
