draw,Q0,L_ctx,cost_model,G,kappa,eta_N,budget,N_B,D_B,Q_B,loss,C_total,C_train,C_Q,C_attn,s_train,s_Q,s_attn,budget_ratio,optimizer_spread,global_checked,global_gap,N_at_lower_bound,N_at_upper_bound,D_at_lower_bound,D_at_upper_bound,Q_at_Q0,Q_at_1
9,0.8,2048,exponential,0.350236471601,1.00911261862,0.168179838649,1e+19,0.249059185027,6.2642129026,0.8,3.08700921317,1e+19,9.36095856216e+18,0,6.39041437843e+17,0.936095856216,0,0.0639041437843,1,8.12683254026e-14,False,not_applicable,False,False,False,False,True,False
9,0.8,2048,exponential,0.350236471601,1.00911261862,0.168179838649,1e+22,5.4769498794,263.683584693,1,2.14892588271,1e+22,8.66509066431e+21,7.43372479677e+20,5.91536856017e+20,0.866509066431,0.0743372479677,0.0591536856017,1,5.3290705182e-15,False,not_applicable,False,False,False,False,False,True
9,0.8,2048,exponential,0.350236471601,1.00911261862,0.168179838649,1e+24,40.5556897247,3805.68285894,1,1.91376033256,1e+24,9.26052559307e+23,1.07289193106e+22,6.3218521382e+22,0.926052559307,0.0107289193106,0.063218521382,1,2.15161222172e-13,False,not_applicable,False,False,False,False,False,True
10,0.8,2048,power,0.367091814547,1.03293399589,0.18393772423,1e+19,0.25276476409,6.17237836126,0.8,3.08970237729,1e+19,9.36095856216e+18,0,6.39041437843e+17,0.936095856216,0,0.0639041437843,1,8.881784197e-16,False,not_applicable,False,False,False,False,True,False
10,0.8,2048,power,0.367091814547,1.03293399589,0.18393772423,1e+22,5.49739721277,261.861561652,1,2.14918064674,1e+22,8.63734211495e+21,7.73015329997e+20,5.89642555048e+20,0.863734211495,0.0773015329997,0.0589642555048,1,1.99840144433e-14,False,not_applicable,False,False,False,False,False,True
10,0.8,2048,power,0.367091814547,1.03293399589,0.18393772423,1e+24,40.579195416,3801.58160406,1,1.91377778789,1e+24,9.25590736806e+23,1.12222688952e+22,6.31869942993e+22,0.925590736806,0.0112222688952,0.0631869942993,1,1.87405646557e-13,False,not_applicable,False,False,False,False,False,True
11,0.6,4096,exponential,0.365151545748,1.01260749884,0.158984531836,1e+19,0.311463383356,3.93388518763,0.726984997522,3.17950325135,1e+19,7.35156714165e+18,1.64469889128e+18,1.00373396707e+18,0.735156714165,0.164469889128,0.100373396707,1,1.37667655054e-14,False,not_applicable,False,False,False,False,False,False
11,0.6,4096,exponential,0.365151545748,1.01260749884,0.158984531836,1e+22,5.43315455833,245.591189004,1,2.15470427308,1e+22,8.00600932813e+21,9.00903531598e+20,1.09308714027e+21,0.800600932813,0.0900903531598,0.109308714027,1,5.77315972805e-15,False,not_applicable,False,False,False,False,False,True
11,0.6,4096,exponential,0.365151545748,1.01260749884,0.158984531836,1e+24,39.56184334,3656.99670841,1,1.91599639637,1e+24,8.68065185239e+23,1.34149814699e+22,1.18519833291e+23,0.868065185239,0.0134149814699,0.118519833291,1,1.15463194561e-14,False,not_applicable,False,False,False,False,False,True
12,0.2,32768,exponential,0.352046450714,0.975579810752,0.166776564352,1e+19,0.263334437136,2.23584324569,0.797914101987,3.32959978599,1e+19,3.53264713576e+18,2.60876015275e+18,3.85859271149e+18,0.353264713576,0.260876015275,0.385859271149,1,7.94919685632e-14,False,not_applicable,False,False,False,False,False,False
12,0.2,32768,exponential,0.352046450714,0.975579810752,0.166776564352,1e+22,4.03725279802,182.871710761,1,2.19872284471,1e+22,4.4297959557e+21,7.31685581748e+20,4.83851846255e+21,0.44297959557,0.0731685581748,0.483851846255,1,7.19424519957e-14,False,not_applicable,False,False,False,False,False,True
12,0.2,32768,exponential,0.352046450714,0.975579810752,0.166776564352,1e+24,29.932093641,2633.26550196,1,1.93809773223,1e+24,4.72914897519e+23,1.05359237505e+22,5.1654917873e+23,0.472914897519,0.0105359237505,0.51654917873,1,7.32747196253e-15,False,not_applicable,False,False,False,False,False,True
