problem,model,dataset,split,metric,value,evidence_level,notes
problem1,quadratic_ALR_Ridge_V2,est_10b,retrospective_test,rmse,3.6212152419184935,observed_or_estimated_per_dataset,source=problem1/outputs/tables/v2_vs_v1_metrics.csv
problem1,quadratic_ALR_Ridge_V2,est_10b,retrospective_test,mae,3.5589202893768364,observed_or_estimated_per_dataset,source=problem1/outputs/tables/v2_vs_v1_metrics.csv
problem1,quadratic_ALR_Ridge_V2,est_10b,retrospective_test,spearman_mean,0.6327508658580455,observed_or_estimated_per_dataset,source=problem1/outputs/tables/v2_vs_v1_metrics.csv
problem1,quadratic_ALR_Ridge_V2,est_10b,retrospective_test,bias,3.558920289376837,observed_or_estimated_per_dataset,source=problem1/outputs/tables/v2_vs_v1_metrics.csv
problem1,quadratic_ALR_Ridge_V2,est_70b,retrospective_test,rmse,4.008987833388895,observed_or_estimated_per_dataset,source=problem1/outputs/tables/v2_vs_v1_metrics.csv
problem1,quadratic_ALR_Ridge_V2,est_70b,retrospective_test,mae,3.941833354089902,observed_or_estimated_per_dataset,source=problem1/outputs/tables/v2_vs_v1_metrics.csv
problem1,quadratic_ALR_Ridge_V2,est_70b,retrospective_test,spearman_mean,0.553628829142216,observed_or_estimated_per_dataset,source=problem1/outputs/tables/v2_vs_v1_metrics.csv
problem1,quadratic_ALR_Ridge_V2,est_70b,retrospective_test,bias,3.9418333540899013,observed_or_estimated_per_dataset,source=problem1/outputs/tables/v2_vs_v1_metrics.csv
problem1,quadratic_ALR_Ridge_V2,A4_A5,nested_group_cv,rmse,0.3340097260320924,internal_cv,source=problem1/outputs/tables/v2_nested_cv_summary.csv
problem2,classic_ND,B1,group_cv,rmse,0.0001511797789,semi_synthetic_or_external_source,source=problem2_v2/outputs/tables/nd_model_scorecard.csv
problem2,classic_ND,B2,external_raw,rmse,1.243084867,semi_synthetic_or_external_source,source=problem2_v2/outputs/tables/nd_model_scorecard.csv
problem2,classic_ND,B4,external_raw,rmse,0.2926666775,semi_synthetic_or_external_source,source=problem2_v2/outputs/tables/nd_model_scorecard.csv
problem2,classic_ND,B5,external_raw,rmse,0.197595074,semi_synthetic_or_external_source,source=problem2_v2/outputs/tables/nd_model_scorecard.csv
problem2,classic_ND,B1,training,bic,-20729.31043,training,source=problem2_v2/outputs/tables/nd_model_scorecard.csv
problem2,Q_by_N,B6,leave_N,rmse,0.05234644395,semi_synthetic,source=problem2_v2/outputs/tables/quality_model_scorecard.csv; B8 is diagnostic only
problem2,Q_by_N,B7,new_point,rmse,0.042127056,semi_synthetic,source=problem2_v2/outputs/tables/quality_model_scorecard.csv; B8 is diagnostic only
problem2,Q_by_N,B8,mechanism_diagnostic,rmse,1.341755475,semi_synthetic,source=problem2_v2/outputs/tables/quality_model_scorecard.csv; B8 is diagnostic only
problem3,robust_minimax_E1,1e+19,36_scenarios,max_regret,0.33408045525490815,conditional_decision,source=problem3_v2/outputs/tables/robust_optimization.csv
problem3,robust_minimax_E1,1e+19,36_scenarios,worst_cost_ratio,1,conditional_decision,source=problem3_v2/outputs/tables/robust_optimization.csv
problem3,robust_minimax_E1,1e+22,36_scenarios,max_regret,0.05612933005919718,conditional_decision,source=problem3_v2/outputs/tables/robust_optimization.csv
problem3,robust_minimax_E1,1e+22,36_scenarios,worst_cost_ratio,1,conditional_decision,source=problem3_v2/outputs/tables/robust_optimization.csv
problem3,robust_minimax_E1,1e+24,36_scenarios,max_regret,0.0,conditional_decision,source=problem3_v2/outputs/tables/robust_optimization.csv
problem3,robust_minimax_E1,1e+24,36_scenarios,worst_cost_ratio,0.409924829256,conditional_decision,source=problem3_v2/outputs/tables/robust_optimization.csv
problem4,time_only,C1_C4,family_group_cv,rmse,11.097581746321358,small_observed_sample,source=problem4/outputs/tables/historical_model_comparison.csv
problem4,compute_only,C1_C4,family_group_cv,rmse,7.051623634352704,small_observed_sample,source=problem4/outputs/tables/historical_model_comparison.csv
