cost_model,Q0,L_ctx,budget,N_B,D_B,Q_B,loss,C_total,C_train,C_Q,C_attn,s_train,s_Q,s_attn,budget_ratio,optimizer_spread,global_checked,global_gap,N_at_lower_bound,N_at_upper_bound,D_at_lower_bound,D_at_upper_bound,Q_at_Q0,Q_at_1
exponential,0.6,4096,1.99526231497e+22,7.22915759258,376.710678986,1,2.10628631148,1.99526231497e+22,1.63398051912e+22,1.38188988972e+21,2.23092806877e+21,0.818930176178,0.0692585571008,0.111811266721,1,1.73194791842e-14,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,2.51188643151e+22,7.96184717731,433.369787987,1,2.0913842692,2.51188643151e+22,2.07025441393e+22,1.58973281602e+21,2.82658735981e+21,0.824183127054,0.0632884033322,0.112528469614,1,4.04121180964e-14,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,3.16227766017e+22,8.77407689965,497.992632986,1,2.07705304197,3.16227766017e+22,2.62165539436e+22,1.8267891596e+21,3.57943349844e+21,0.829040228626,0.0577681454925,0.113191625882,1,9.85878045867e-14,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,3.98107170553e+22,9.67460615364,571.65319136,1,2.06326658518,3.98107170553e+22,3.31831168973e+22,2.09699859769e+21,4.53060156038e+21,0.833522210895,0.0526742232443,0.113803565861,1,3.64597241287e-13,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,5.01187233627e+22,10.6731567479,655.56922211,1,2.05000043576,5.01187233627e+22,4.19819584001e+22,2.40482824242e+21,5.73193672022e+21,0.837650195043,0.0479826316607,0.114367173297,1,3.99680288865e-15,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,6.3095734448e+22,11.7805170364,751.121746099,1,2.03723159239,6.3095734448e+22,5.30916151581e+22,2.75534410035e+21,7.24877518958e+21,0.841445394408,0.0436692610754,0.114885344517,1,2.22044604925e-15,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,7.94328234724e+22,13.0086455586,859.877920539,1,2.02493840465,7.94328234724e+22,6.71150825517e+22,3.15429498305e+21,9.16344593772e+21,0.844928829389,0.0397102211046,0.115360949506,1,1.64313007645e-14,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,1e+23,14.3708211186,983.614855579,1,2.01310047051,1e+23,8.48121188348e+22,3.60819987361e+21,1.15796812916e+22,0.848121188348,0.0360819987361,0.115796812916,1,5.3290705182e-15,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,1.25892541179e+23,15.8817702701,1124.34900521,1,2.00169854194,1.25892541179e+23,1.07139915625e+23,4.12445574147e+21,1.46281698133e+22,0.851042600466,0.0327617164832,0.11619568305,1,2.48689957516e-14,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,1.58489319246e+23,17.5578256606,1284.36854457,1,1.99071443806,1.58489319246e+23,1.35304313938e+23,4.7114563123e+21,1.84735489963e+22,0.853712506187,0.0297272796345,0.116560214178,1,3.41948691585e-14,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,1.99526231497e+23,19.4171113698,1466.26939331,1,1.98013096538,1.99526231497e+23,1.70824296649e+23,5.37872421264e+21,2.33232106357e+22,0.856149566736,0.0269574790858,0.116892954178,1,4.14779322e-13,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,2.51188643151e+23,21.4797450916,1672.99621733,1,1.96993184479,2.51188643151e+23,2.15613193724e+23,6.13706137689e+21,2.94383880498e+22,0.858371584876,0.0244320814027,0.117196333722,1,1.23678844943e-13,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,3.16227766017e+23,23.7680247201,1907.89182751,1,1.96010164465,3.16227766017e+23,2.72080920718e+23,6.99873025692e+21,3.7148115042e+22,0.860395417344,0.022131928341,0.117472654315,1,5.0404125318e-14,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,3.98107170553e+23,26.306708919,2174.74769239,1,1.9506257197,3.98107170553e+23,3.43262727096e+23,7.97763911791e+21,4.68668043395e+22,0.862236986636,0.0200389234558,0.117724089909,1,9.10382880193e-15,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,5.01187233627e+23,29.1232608324,2477.86633019,1,1.9414901552,5.01187233627e+23,4.32981284651e+23,9.08957091153e+21,5.91163780644e+22,0.863911240352,0.018136078299,0.117952681349,1,2.87991852588e-13,False,not_applicable,False,False,False,False,False,True
