budget,N_B,D_B,D_over_N,e_N,e_D,e_Q
1.99526231497e+21,2.8708324873,85.8358740032,29.8992972885,0.381547886257,0.678683261854,-4.4408920985e-16
2.51188643151e+21,3.1360378596,100.260598947,31.9704682901,0.385861279849,0.670657168735,0
3.16227766017e+21,3.42909966767,116.896166024,34.0894629358,0.390048442559,0.662865959737,-4.4408920985e-16
3.98107170553e+21,3.75310734001,136.051547718,36.2503747941,0.394096695814,0.655333048753,4.4408920985e-16
5.01187233627e+21,4.111491979,158.076341863,38.4474401678,0.397995642082,0.648078228901,4.4408920985e-16
6.3095734448e+21,4.50806442517,183.366135608,40.6751364475,0.401735453155,0.641119062279,-4.4408920985e-16
7.94328234724e+21,4.94705271286,212.368788508,42.9283455898,0.405309728667,0.634468246308,4.4408920985e-16
1e+22,5.43315455833,245.591189004,45.2023196409,0.408713075227,0.628135777484,-4.4408920985e-16
1.25892541179e+22,5.97157860008,283.60758716,47.4929003122,0.4119406603,0.622129365779,0
1.58489319246e+22,6.56810658505,327.068451551,49.7964591949,0.414992696338,0.61645043349,0
1.99526231497e+22,7.22915759258,376.710678986,52.1098999658,0.417868227805,0.611099883502,-8.881784197e-16
2.51188643151e+22,7.96184717731,433.369787987,54.4308096269,0.420568720681,0.60607493179,0
3.16227766017e+22,8.77407689965,497.992632986,56.7572678792,0.42309728457,0.601370004014,1.33226762955e-15
3.98107170553e+22,9.67460615364,571.65319136,59.0880065071,0.425457255888,0.596978189318,-4.4408920985e-16
5.01187233627e+22,10.6731567479,655.56922211,61.4222425094,0.427655287191,0.592888516366,4.4408920985e-16
6.3095734448e+22,11.7805170364,751.121746099,63.7596587464,0.429695966,0.589091207766,-4.4408920985e-16
7.94328234724e+22,13.0086455586,859.877920539,66.1004957563,0.431586159258,0.585573718238,4.4408920985e-16
1e+23,14.3708211186,983.614855579,68.4452786282,0.433334144289,0.582321712273,0
1.25892541179e+23,15.8817702701,1124.34900521,70.794942005,0.434945744447,0.579322907239,-4.4408920985e-16
1.58489319246e+23,17.5578256606,1284.36854457,73.1507744409,0.436428559631,0.57656314645,4.4408920985e-16
1.99526231497e+23,19.4171113698,1466.26939331,75.5142907398,0.437791953545,0.574026491416,-4.4408920985e-16
2.51188643151e+23,21.4797450916,1672.99621733,77.8871541628,0.439042344515,0.571699892175,4.4408920985e-16
3.16227766017e+23,23.7680247201,1907.89182751,80.2713666778,0.440186981408,0.569569598366,-4.4408920985e-16
3.98107170553e+23,26.306708919,2174.74769239,82.6689381438,0.441234546756,0.567620633618,0
5.01187233627e+23,29.1232608324,2477.86633019,85.0820361241,0.442191255023,0.565840648442,0
6.3095734448e+23,32.2481474133,2822.12995413,87.5129326954,0.443063498588,0.564217383161,0
7.94328234724e+23,35.7151681825,3213.07861065,89.9639781683,0.443858742297,0.562737805306,0
1e+24,39.56184334,3656.99670841,92.4374700386,0.444582130114,0.561391469754,4.4408920985e-16
1.25892541179e+24,43.8297633302,4161.01848397,94.9359103909,0.445240197446,0.560166866697,-4.4408920985e-16
1.58489319246e+24,48.5651303078,4733.23364337,97.461565806,0.445838619952,0.559053652782,4.4408920985e-16
1.99526231497e+24,53.8191518806,5382.82642271,100.01693142,0.4463815378,0.558043309992,-4.4408920985e-16
2.51188643151e+24,59.6486839217,6120.21395466,102.604341827,0.446874110479,0.557126624397,4.4408920985e-16
3.16227766017e+24,66.1167765187,6957.21941827,105.226234317,0.447321167569,0.556295000762,0
3.98107170553e+24,73.2934389549,7907.25245831,107.884860788,0.447726170733,0.555541488901,-2.6645352591e-15
5.01187233627e+24,81.2562743562,8985.5362012,110.582675275,0.448092212621,0.554859776326,4.4408920985e-16
6.3095734448e+24,90.0914427627,10209.3374823,113.321944562,0.448424514869,0.55424169549,1.7763568394e-15
7.94328234724e+24,99.8945532082,11598.246571,116.104894597,0.44872517568,0.553682423435,4.4408920985e-16
1e+25,110.771637831,13174.4970597,118.933847307,0.448867683017,0.553417075576,0
