replicate,budget,N_B,D_B,Q_B,loss,C_total,C_train,C_Q,C_attn,s_train,s_Q,s_attn,budget_ratio,optimizer_spread,global_checked,global_gap,N_at_lower_bound,N_at_upper_bound,D_at_lower_bound,D_at_upper_bound,Q_at_Q0,Q_at_1
15,1e+24,39.5867517158,3654.72653886,1,1.91600110746,1e+24,8.68072512499e+23,1.34066537942e+22,1.18520833707e+23,0.868072512499,0.0134066537942,0.118520833707,1,3.15303338994e-14,False,not_applicable,False,False,False,False,False,True
16,1e+19,0.307683668103,4.03309915887,0.718982204638,3.17708960504,1e+19,7.44551245815e+18,1.53792690756e+18,1.01656063429e+18,0.744551245815,0.153792690756,0.101656063429,1,1.06581410364e-14,False,not_applicable,False,False,False,False,False,False
16,1e+20,0.942928659447,10.9988622809,0.95216844294,2.70186244724,1e+20,6.22268547957e+19,2.92771052961e+19,8.49603990811e+18,0.622268547957,0.292771052961,0.0849603990811,1,3.95239396767e-14,False,not_applicable,False,False,False,False,False,False
16,1e+22,5.43016702719,245.71412775,1,2.15469966794,1e+22,8.00561252773e+21,9.01354508486e+20,1.09303296379e+21,0.800561252773,0.0901354508486,0.109303296379,1,2.22044604925e-15,False,not_applicable,False,False,False,False,False,True
16,1e+24,39.5145413955,3661.31561847,1,1.91598816617,1e+24,8.68051245408e+23,1.34308245518e+22,1.1851793004e+23,0.868051245408,0.0134308245518,0.11851793004,1,5.59552404411e-14,False,not_applicable,False,False,False,False,False,True
17,1e+19,0.317296051878,3.84715169458,0.730671341937,3.18798438501,1e+19,7.32411626199e+18,1.67589773104e+18,9.9998600697e+17,0.732411626199,0.167589773104,0.099998600697,1,4.88498130835e-15,False,not_applicable,False,False,False,False,False,False
17,1e+20,1.00249593136,9.51970621706,1,2.70363493679,1e+20,5.72608005022e+19,3.49211915359e+19,7.8180079619e+18,0.572608005022,0.349211915359,0.078180079619,1,2.88657986403e-14,False,not_applicable,False,False,False,False,False,True
17,1e+22,5.43101999234,245.679015156,1,2.1546997787,1e+22,8.00572585808e+21,9.01225704765e+20,1.09304843716e+21,0.800572585808,0.0901225704765,0.109304843716,1,6.26165785889e-14,False,not_applicable,False,False,False,False,False,True
17,1e+24,39.5300282154,3659.90046964,1,1.91598861709,1e+24,8.68055812981e+23,1.34256333534e+22,1.18518553666e+23,0.868055812981,0.0134256333534,0.118518553666,1,6.17284001692e-14,False,not_applicable,False,False,False,False,False,True
18,1e+19,0.311391610628,3.95428259085,0.724279919192,3.18007955945,1e+19,7.38798254906e+18,1.60331156691e+18,1.00870588403e+18,0.738798254906,0.160331156691,0.100870588403,1,2.18935980456e-13,False,not_applicable,False,False,False,False,False,False
18,1e+20,0.952004637913,10.7722712272,0.959140814716,2.70236876979,1e+20,6.15315130148e+19,3.00673844083e+19,8.40110257695e+18,0.615315130148,0.300673844083,0.0840110257695,1,1.11022302463e-14,False,not_applicable,False,False,False,False,False,False
18,1e+22,5.43515048472,245.50912393,1,2.15468329204,1e+22,8.00627420358e+21,9.00602491828e+20,1.0931233046e+21,0.800627420358,0.0900602491828,0.10931233046,1,1.7763568394e-15,False,not_applicable,False,False,False,False,False,True
18,1e+24,39.5879878115,3654.6139535,1,1.91597210423,1e+24,8.68072875883e+23,1.34062407967e+22,1.18520883321e+23,0.868072875883,0.0134062407967,0.118520883321,1,8.881784197e-16,False,not_applicable,False,False,False,False,False,True
19,1e+19,0.335114431784,3.56299046268,0.747618674712,3.19159684933,1e+19,7.16405714613e+18,1.85781025152e+18,9.78132602351e+17,0.716405714613,0.185781025152,0.0978132602351,1,5.99520433298e-14,False,not_applicable,False,False,False,False,False,False
19,1e+20,0.982936276474,10.0381023638,0.982179276626,2.70352682778,1e+20,5.9200889762e+19,3.27162154225e+19,8.08289481551e+18,0.59200889762,0.327162154225,0.0808289481551,1,9.192407486e-05,False,not_applicable,False,False,False,False,False,False
19,1e+22,5.43254164461,245.61640075,1,2.1547043285,1e+22,8.00592795402e+21,9.00996015986e+20,1.09307602999e+21,0.800592795402,0.0900996015986,0.109307602999,1,1.50990331349e-14,False,not_applicable,False,False,False,False,False,True
19,1e+24,39.5516218035,3657.92912387,1,1.91601102601,1e+24,8.6806217575e+23,1.34184018547e+22,1.18519422396e+23,0.86806217575,0.0134184018547,0.118519422396,1,2.50910403565e-14,False,not_applicable,False,False,False,False,False,True
20,1e+19,0.312866881011,3.93829315261,0.724324670099,3.18101724694,1e+19,7.39296897099e+18,1.59764433217e+18,1.00938669684e+18,0.739296897099,0.159764433217,0.100938669684,1,7.54951656745e-15,False,not_applicable,False,False,False,False,False,False
20,1e+20,0.95679708562,10.6577987732,0.962642103538,2.70266974524,1e+20,6.11841048318e+19,3.04622253885e+19,8.3536697797e+18,0.611841048318,0.304622253885,0.083536697797,1,0.000883896707681,False,not_applicable,False,False,False,False,False,False
20,1e+22,5.43160815582,245.654809057,1,2.1547496566,1e+22,8.00580398634e+21,9.01136909395e+20,1.09305910427e+21,0.800580398634,0.0901136909395,0.109305910427,1,7.54951656745e-15,False,not_applicable,False,False,False,False,False,True
20,1e+24,39.5423034229,3658.77956725,1,1.91614673757,1e+24,8.68059430836e+23,1.34215215409e+22,1.18519047623e+23,0.868059430836,0.0134215215409,0.118519047623,1,3.06421554797e-14,False,not_applicable,False,False,False,False,False,True
21,1e+19,0.309162488419,3.985348314,0.723302277338,3.1784548761,1e+19,7.39272121184e+18,1.59792591871e+18,1.00935286946e+18,0.739272121184,0.159792591871,0.100935286946,1,9.32587340685e-15,False,not_applicable,False,False,False,False,False,False
21,1e+20,0.945404978537,10.9256733137,0.954573981697,2.70189323017,1e+20,6.19751156678e+19,2.95632152063e+19,8.46166912585e+18,0.619751156678,0.295632152063,0.0846166912585,1,2.0872192863e-13,False,not_applicable,False,False,False,False,False,False
21,1e+22,5.4346709715,245.528834725,1,2.15470606427,1e+22,8.00621058448e+21,9.0067479705e+20,1.09311461847e+21,0.800621058448,0.090067479705,0.109311461847,1,3.99680288865e-15,False,not_applicable,False,False,False,False,False,True
21,1e+24,39.5806719281,3655.28039558,1,1.91600996277,1e+24,8.68070724856e+23,1.34086855099e+22,1.18520589634e+23,0.868070724856,0.0134086855099,0.118520589634,1,5.57331958362e-14,False,not_applicable,False,False,False,False,False,True
22,1e+19,0.320952997743,3.79752814166,0.732538087719,3.18496269652,1e+19,7.31296824646e+18,1.68856782229e+18,9.9846393125e+17,0.731296824646,0.168856782229,0.099846393125,1,1.09690034833e-13,False,not_applicable,False,False,False,False,False,False
22,1e+20,0.966841985825,10.4285707726,0.969614489791,2.70310905324,1e+20,6.04966804505e+19,3.1243506112e+19,8.25981343751e+18,0.604966804505,0.31243506112,0.0825981343751,1,0.000502957849161,False,not_applicable,False,False,False,False,False,False
22,1e+22,5.4323334705,245.624965013,1,2.15470095293,1e+22,8.00590031178e+21,9.01027432321e+20,1.0930722559e+21,0.800590031178,0.0901027432321,0.10930722559,1,2.62012633812e-14,False,not_applicable,False,False,False,False,False,True
22,1e+24,39.5467666443,3658.37218136,1,1.91598847073,1e+24,8.68060745725e+23,1.3420027125e+22,1.1851922715e+23,0.868060745725,0.013420027125,0.11851922715,1,2.975397706e-14,False,not_applicable,False,False,False,False,False,True
23,1e+19,0.310901121502,3.96204794443,0.723931346293,3.18116871166,1e+19,7.3908308962e+18,1.60007432544e+18,1.00909477836e+18,0.73908308962,0.160007432544,0.100909477836,1,3.90798504668e-14,False,not_applicable,False,False,False,False,False,False
23,1e+20,0.958804185618,10.593156552,0.964879239424,2.7028315059,1e+20,6.09405770459e+19,3.07390028348e+19,8.32042011933e+18,0.609405770459,0.307390028348,0.0832042011933,1,0.000770103539341,False,not_applicable,False,False,False,False,False,False
23,1e+22,5.43241617098,245.621562651,1,2.15470711429,1e+22,8.00591129333e+21,9.01014951418e+20,1.09307375525e+21,0.800591129333,0.0901014951418,0.109307375525,1,4.88498130835e-15,False,not_applicable,False,False,False,False,False,True
23,1e+24,39.5506378985,3658.01890144,1,1.9160061162,1e+24,8.68061885981e+23,1.34187311863e+22,1.18519382833e+23,0.868061885981,0.0134187311863,0.118519382833,1,1.06581410364e-14,False,not_applicable,False,False,False,False,False,True
24,1e+19,0.313432533576,3.9180676255,0.726310712849,3.17848415409,1e+19,7.3682991755e+18,1.62568237708e+18,1.00601844743e+18,0.73682991755,0.162568237708,0.100601844743,1,2.44249065418e-14,False,not_applicable,False,False,False,False,False,False
24,1e+20,0.941835002486,11.0472303695,0.950378205216,2.70145371995,1e+20,6.24280094549e+19,2.90484863208e+19,8.52350422425e+18,0.624280094549,0.290484863208,0.0852350422425,1,1.50990331349e-14,False,not_applicable,False,False,False,False,False,False
24,1e+22,5.43430485127,245.543886537,1,2.1546982241,1e+22,8.00616200285e+21,9.00730011694e+20,1.09310798546e+21,0.800616200285,0.0900730011694,0.109310798546,1,3.5527136788e-15,False,not_applicable,False,False,False,False,False,True
24,1e+24,39.5747020335,3655.82440462,1,1.91598508432,1e+24,8.68068968998e+23,1.34106811013e+22,1.18520349901e+23,0.868068968998,0.0134106811013,0.118520349901,1,1.10800257858e-13,False,not_applicable,False,False,False,False,False,True
25,1e+19,0.313171100889,3.9341333617,0.724456430283,3.18639113663,1e+19,7.39234125557e+18,1.59835775167e+18,1.00930099276e+18,0.739234125557,0.159835775167,0.100930099276,1,0.0774113489012,False,not_applicable,False,False,False,False,False,False
25,1e+20,1.00250826763,9.51962998091,1,2.70362214115,1e+20,5.72610465641e+19,3.49209118784e+19,7.81804155755e+18,0.572610465641,0.349209118784,0.0781804155755,1,8.881784197e-16,False,not_applicable,False,False,False,False,False,True
