replicate,cost_model,Q0,L_ctx,budget,N_B,D_B,Q_B,loss,C_total,C_train,C_Q,C_attn,s_train,s_Q,s_attn,budget_ratio,optimizer_spread,global_checked,global_gap,N_at_lower_bound,N_at_upper_bound,D_at_lower_bound,D_at_upper_bound,Q_at_Q0,Q_at_1
14,logarithmic,0.6,4096,1e+19,0.321431392967,3.23010436345,1,3.10384847384,1e+19,6.22954166984e+18,2.91991824084e+18,8.50540089322e+17,0.622954166984,0.291991824084,0.0850540089322,1,7.1054273576e-15,False,not_applicable,False,False,False,False,False,True
14,logarithmic,0.6,4096,1e+22,5.01667121693,284.789496026,1,2.14937330621,1e+22,8.57217160558e+21,2.57441231204e+20,1.17038716322e+21,0.857217160558,0.0257441231204,0.117038716322,1,5.77315972805e-15,False,not_applicable,False,False,False,False,False,True
14,logarithmic,0.6,4096,1e+24,39.0739756094,3740.31410984,1,1.91561624235,1e+24,8.76893653797e+23,3.38113267155e+21,1.19725213532e+23,0.876893653797,0.00338113267155,0.119725213532,1,2.64233079861e-14,False,not_applicable,False,False,False,False,False,True
15,exponential,0.8,4096,1e+19,0.242145563683,6.05605840901,0.8,3.10545882346,1e+19,8.79868606288e+18,0,1.20131393712e+18,0.879868606288,0,0.120131393712,1,1.27009514017e-13,False,not_applicable,False,False,False,False,True,False
15,exponential,0.8,4096,1e+22,5.31361815186,256.056972236,1,2.1531265111,1e+22,8.16353385351e+21,7.21871657696e+20,1.1145944888e+21,0.816353385351,0.0721871657696,0.11145944888,1,7.1054273576e-15,False,not_applicable,False,False,False,False,False,True
15,exponential,0.8,4096,1e+24,39.4457674078,3679.07081391,1,1.91589243838,1e+24,8.70742629614e+23,1.03719766895e+22,1.18885393697e+23,0.870742629614,0.0103719766895,0.118885393697,1,1.58317803312e-13,False,not_applicable,False,False,False,False,False,True
16,power,0.8,4096,1e+19,0.240996837512,6.08492498195,0.8,3.10055563603,1e+19,8.79868606288e+18,0,1.20131393712e+18,0.879868606288,0,0.120131393712,1,8.881784197e-15,False,not_applicable,False,False,False,False,True,False
16,power,0.8,4096,1e+22,5.32804182543,254.550194074,1,2.15337360895,1e+22,8.13752448419e+21,7.51432172907e+20,1.11104334291e+21,0.813752448419,0.0751432172907,0.111104334291,1,1.06581410364e-14,False,not_applicable,False,False,False,False,False,True
16,power,0.8,4096,1e+24,39.3956682517,3681.89948212,1,1.91589636202,1e+24,8.70305343203e+23,1.08689672712e+22,1.18825689525e+23,0.870305343203,0.0108689672712,0.118825689525,1,2.3714363806e-13,False,not_applicable,False,False,False,False,False,True
17,logarithmic,0.8,4096,1e+19,0.270537238796,4.45198525719,1,3.0585327559,1e+19,7.22656679186e+18,1.7867659555e+18,9.86667252648e+17,0.722656679186,0.17867659555,0.0986667252648,1,5.3290705182e-15,False,not_applicable,False,False,False,False,False,True
17,logarithmic,0.8,4096,1e+22,4.93417289837,293.699098034,1,2.14834580709,1e+22,8.69497277876e+21,1.17873604518e+20,1.18715361673e+21,0.869497277876,0.0117873604518,0.118715361673,1,1.73194791842e-14,False,not_applicable,False,False,False,False,False,True
17,logarithmic,0.8,4096,1e+24,38.9824278097,3756.14627919,1,1.91556701502,1e+24,8.78542207028e+23,1.50749697221e+21,1.19950296e+23,0.878542207028,0.00150749697221,0.119950296,1,1.74082970261e-13,False,not_applicable,False,False,False,False,False,True
18,exponential,0.2,32768,1e+19,0.261878396602,2.24841053162,0.796978060789,3.32755955697,1e+19,3.53286086955e+18,2.60831296468e+18,3.85882616578e+18,0.353286086955,0.260831296468,0.385882616578,1,1.11022302463e-14,False,not_applicable,False,False,False,False,False,False
18,exponential,0.2,32768,1e+22,4.0386307657,182.813879454,1,2.19870306432,1e+22,4.42990654776e+21,7.31454193671e+20,4.83863925857e+21,0.442990654776,0.0731454193671,0.483863925857,1,7.63833440942e-14,False,not_applicable,False,False,False,False,False,True
18,exponential,0.2,32768,1e+24,29.9509004308,2631.62943023,1,1.93807420798,1e+24,4.72918026215e+23,1.05293776855e+22,5.165525961e+23,0.472918026215,0.0105293776855,0.5165525961,1,3.10862446895e-15,False,not_applicable,False,False,False,False,False,True
19,power,0.2,32768,1e+19,0.301893758793,1.83537145929,0.759832059544,3.38419267615,1e+19,3.32452313176e+18,3.04421106885e+18,3.63126579939e+18,0.332452313176,0.304421106885,0.363126579939,1,1.74527059471e-13,False,not_applicable,False,False,False,False,False,False
19,power,0.2,32768,1e+22,4.11393777014,176.563868408,1,2.20016707244,1e+22,4.35823660252e+21,8.81406831094e+20,4.76035656638e+21,0.435823660252,0.0881406831094,0.476035656638,1,8.43769498715e-14,False,not_applicable,False,False,False,False,False,True
19,power,0.2,32768,1e+24,30.0143192395,2619.31121028,1,1.93820988468,1e+24,4.71701057117e+23,1.30756015617e+22,5.15223341321e+23,0.471701057117,0.0130756015617,0.515223341321,1,1.4788170688e-13,False,not_applicable,False,False,False,False,False,True
20,logarithmic,0.2,32768,1e+19,0.300346934192,1.57010489103,1,3.31571628221,1e+19,2.82945714229e+18,4.08002113643e+18,3.09052172128e+18,0.282945714229,0.408002113643,0.309052172128,1,8.881784197e-16,False,not_applicable,False,False,False,False,False,True
20,logarithmic,0.2,32768,1e+22,3.92265998611,192.893530846,1,2.19664161129,1e+22,4.53993441017e+21,5.01246564753e+20,4.95881902508e+21,0.453993441017,0.0501246564753,0.495881902508,1,1.05249142734e-13,False,not_applicable,False,False,False,False,False,True
20,logarithmic,0.2,32768,1e+24,29.7908854204,2655.46820191,1,1.93809380109,1e+24,4.74652493644e+23,6.90040929927e+21,5.18447097057e+23,0.474652493644,0.00690040929927,0.518447097057,1,3.77475828373e-15,False,not_applicable,False,False,False,False,False,True
21,exponential,0.6,32768,1e+19,0.235338517435,2.75356698367,0.774591530206,3.30364620071,1e+19,3.88812222957e+18,1.86501146315e+18,4.24686630728e+18,0.388812222957,0.186501146315,0.424686630728,1,1.37667655054e-14,False,not_applicable,False,False,False,False,False,False
21,exponential,0.6,32768,1e+22,4.01186042009,185.076892719,1,2.19822961366,1e+22,4.45501596344e+21,6.78918600233e+20,4.86606543633e+21,0.445501596344,0.0678918600233,0.486606543633,1,1.61648472385e-13,False,not_applicable,False,False,False,False,False,True
21,exponential,0.6,32768,1e+24,29.9155843,2637.0154694,1,1.93807678758,1e+24,4.73327151452e+23,9.67337858861e+21,5.16999469959e+23,0.473327151452,0.00967337858861,0.516999469959,1,1.33226762955e-15,False,not_applicable,False,False,False,False,False,True
22,power,0.6,32768,1e+19,0.231153114078,3.07381001577,0.668654650993,3.33559145816,1e+19,4.26312454338e+18,1.08040662203e+18,4.65646883459e+18,0.426312454338,0.108040662203,0.465646883459,1,4.28546087505e-13,False,not_applicable,False,False,False,False,False,False
22,power,0.6,32768,1e+22,4.06431692288,180.590791829,1,2.19923601526,1e+22,4.40386926808e+21,7.85931126039e+20,4.81019960588e+21,0.440386926808,0.0785931126039,0.481019960588,1,1.06137321154e-13,False,not_applicable,False,False,False,False,False,True
22,power,0.6,32768,1e+24,29.9532218087,2629.00000009,1,1.93812551587,1e+24,4.72482120826e+23,1.14414080004e+22,5.16076471174e+23,0.472482120826,0.0114414080004,0.516076471174,1,1.99840144433e-15,False,not_applicable,False,False,False,False,False,True
